dataset,sample_id,width,height,seconds,inference_mode,fused_path,rgb_path,EN,SF,AG,MI_IR,MI_VI,MI,QABF
m3fd,00000,1024,768,8.245647952000581,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00000.png,,6.87513657696979,16.978749688303253,9.716440200805664,0.6413816440906194,2.299295254968002,2.9406768990586216,0.5913266743622626
m3fd,00011,1024,768,1.2120767289998184,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00011.png,,6.844983259817044,16.927306651384168,9.651710510253906,0.6381776518548592,2.25489957605149,2.8930772279063492,0.5896987920783292
m3fd,00025,1024,768,1.2145131580000452,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00025.png,,6.455317667268815,12.575293770567493,6.434032917022705,0.7097330756000688,2.0201810919268093,2.729914167526878,0.5481776517338255
m3fd,00031,1024,768,1.2109515760021168,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00031.png,,6.614360838384147,13.11220316326209,6.590766429901123,0.80927518719676,2.2776299492601804,3.08690513645694,0.5485310290142044
m3fd,00033,1024,768,1.2123355270014144,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00033.png,,6.846533721579614,16.82875616663899,9.426051139831543,0.6348114744461221,2.2700903168084583,2.9049017912545803,0.5871390591090516
m3fd,00042,1024,768,1.213131444001192,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00042.png,,6.557424173639648,14.455744719328433,7.302764415740967,0.749488592123045,2.466736968516872,3.2162255606399173,0.5626703928870621
m3fd,00061,1024,768,1.214847772000212,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00061.png,,6.704297081201687,12.915842516699865,6.016752243041992,1.020798854690679,2.656307179635477,3.6771060343261563,0.5732488737803594
m3fd,00071,1024,768,1.2142739400005667,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00071.png,,6.632019675872335,12.445674649260589,5.70389461517334,1.0234070853917716,2.83934478995272,3.862751875344492,0.5824933280707917
m3fd,00082,1024,768,1.2142159919967526,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00082.png,,6.642185020119872,12.322455878079221,7.288830280303955,0.35309959364384,2.2609076246721256,2.6140072183159657,0.5418380166297854
m3fd,00097,1024,768,1.2146519620000618,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00097.png,,6.206670633007626,10.639310627064571,5.894205093383789,0.5048081626945581,2.327669670845097,2.832477833539655,0.5380977794512237
m3fd,00107,1024,768,1.214639324000018,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00107.png,,6.809835077410803,14.342166886466707,8.498491287231445,0.33622782578278465,2.549123998437243,2.8853518242200273,0.5705295142260313
m3fd,00112,1024,768,1.2179446400004963,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00112.png,,6.646371644787537,14.012959842262982,7.880260944366455,0.5190600473759862,2.6802718462201542,3.1993318935961406,0.5638921554025382
m3fd,00118,1024,768,1.2161096290001296,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00118.png,,6.571392972483112,14.56178812304425,7.982661724090576,0.4386005952654056,2.0864825943604717,2.525083189625877,0.5651773831452516
m3fd,00147,1024,768,1.2177912260012818,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00147.png,,6.741819640895457,14.53277203988289,7.590123176574707,0.6118472211969292,2.6073660666462817,3.219213287843211,0.5782396231443114
m3fd,00149,1024,768,1.2187423940013105,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00149.png,,6.885564778517534,14.931353284903325,8.676082611083984,0.721665709539634,2.508373304218683,3.230039013758317,0.5883065270229999
m3fd,00150,1024,768,1.2180057100013073,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00150.png,,6.890688407274013,15.452115876496622,9.137218475341797,0.7125783003512085,2.7080315329934974,3.420609833344706,0.5920042876850402
m3fd,00159,1024,768,1.2199045750021469,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00159.png,,6.706810820839719,13.168090542963352,7.87099027633667,0.7043679378820468,2.527137811502703,3.2315057493847497,0.5607689841537582
m3fd,00177,1024,768,1.2212822559995402,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00177.png,,6.917069113644696,14.922732460393425,9.364593505859375,0.6358772203399249,2.587402135710755,3.22327935605068,0.5933487827259682
m3fd,00196,1024,768,1.2237862830006634,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00196.png,,6.913326009305623,17.32403293615594,10.845633506774902,0.44819374190200434,3.301385855356906,3.7495795972589105,0.6290594503502018
m3fd,00202,1024,768,1.222983383002429,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00202.png,,6.766318464770488,13.993117015159134,8.231955528259277,0.6491790123668931,2.718965104940704,3.368144117307597,0.5823907120787146
m3fd,00210,1024,768,1.2238240250007948,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00210.png,,6.720598134366336,13.51978420416658,7.5678863525390625,0.6522813772695157,2.428665903151964,3.08094728042148,0.5517193681689867
m3fd,00215,1024,768,1.223120916998596,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00215.png,,6.761979219518057,13.665732908668478,7.7889227867126465,0.6124324749430428,2.523553138175152,3.1359856131181947,0.5515047249006152
m3fd,00232,1024,768,1.2242874180010404,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00232.png,,6.588741865399344,12.489665767642986,7.248701095581055,0.5800168766649494,2.2261892213488035,2.806206098013753,0.5508060382074117
m3fd,00242,1024,768,1.2225343690006412,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00242.png,,6.676495727583344,11.307076803060653,5.911976337432861,0.6598016184175861,2.354797803645149,3.0145994220627355,0.5257463719108437
m3fd,00255,1024,768,1.2216821980000532,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00255.png,,6.361169594539448,8.594592729752625,4.218688011169434,0.8627318854991322,2.8691341099174736,3.731865995416606,0.5218275389459862
m3fd,00274,1024,768,1.2247441179970338,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00274.png,,6.375319060211152,8.958539427077103,4.593224048614502,0.8261375283195194,2.681676517766563,3.5078140460860823,0.514138708635225
m3fd,00284,1024,768,1.2248002630003612,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00284.png,,6.36206450432988,8.842872184036844,4.51035737991333,0.8853989680354604,2.6432118601067183,3.5286108281421784,0.5039374575270076
m3fd,00290,1024,768,1.2258636059996206,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00290.png,,6.377471640452414,8.75626035105646,4.497734546661377,0.8610372791914418,2.526879193752052,3.387916472943494,0.5081679953824296
m3fd,00306,1024,768,1.2210132910004177,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00306.png,,6.325633968842448,8.651564231805919,4.476119041442871,0.8380769063460449,2.389655243639669,3.227732149985714,0.49401300310067425
m3fd,00320,1024,768,1.2247398710023845,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00320.png,,6.483758175828706,10.308597563281545,5.607917308807373,0.8434227637597873,2.891280319996116,3.734703083755903,0.5434763956453533
m3fd,00325,1024,768,1.2260230160027277,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00325.png,,7.0945182080158,5.412984777788418,3.4921700954437256,2.685563932438653,0.6849514046420722,3.3705153370807253,0.4136537704318761
m3fd,00334,1024,768,1.2274718609987758,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00334.png,,7.088472777665997,4.938678246919123,2.9118378162384033,2.9925944543976644,1.14909060103134,4.141685055429004,0.4221499106997657
m3fd,00339,1024,768,1.227753578001284,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00339.png,,6.60088157374636,6.826823743283288,3.2894105911254883,1.243230350072504,0.9534869732063549,2.196717323278859,0.45037424258417824
m3fd,00349,1024,768,1.2271111370027938,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00349.png,,6.446387380079592,8.673486313271386,4.349374294281006,0.6103738873112903,1.1927901370214924,1.8031640243327827,0.43962130669667165
m3fd,00353,1024,768,1.2254911359996186,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00353.png,,6.436724240025185,8.68390607180986,4.359433650970459,0.5915626029770013,1.2060891402892344,1.7976517432662358,0.4408860026486806
m3fd,00370,1024,768,1.2303292659998988,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00370.png,,6.446275322433498,8.934971946618187,4.5287065505981445,0.5620766353675205,1.2803558036504885,1.8424324390180091,0.4496547497994969
m3fd,00385,1024,768,1.2316746979995514,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00385.png,,6.424783817212261,8.01244567967029,4.1747355461120605,0.6474113407139666,1.1235636931545752,1.7709750338685417,0.42998629137873534
m3fd,00386,1024,768,1.2310155960003613,tile507_overlap64,results/abl/B0_m3fd_s123/m3fd/00386.png,,6.698400255781112,10.860493097660681,5.393077850341797,1.0155010080435538,1.3381019228156168,2.3536029308591706,0.5233869537260815
