dataset,sample_id,width,height,seconds,inference_mode,fused_path,rgb_path,EN,SF,AG,MI_IR,MI_VI,MI,QABF
m3fd,00000,1024,768,13.31517359800273,tile507_overlap64,results/abl/S_m3fd/m3fd/00000.png,,6.867263420816518,16.977139705184822,9.708561897277832,0.635150268912974,2.300890960152499,2.936041229065473,0.592149472288843
m3fd,00011,1024,768,1.666886176000844,tile507_overlap64,results/abl/S_m3fd/m3fd/00011.png,,6.837571039654183,16.921861870623367,9.640501022338867,0.6328880879072564,2.255119186535001,2.8880072744422574,0.5902190961162432
m3fd,00025,1024,768,1.6200439299973368,tile507_overlap64,results/abl/S_m3fd/m3fd/00025.png,,6.452571749275496,12.567507882590965,6.423040390014648,0.6988687879803144,2.019655963621258,2.7185247516015725,0.5491245201166763
m3fd,00031,1024,768,1.626471395000408,tile507_overlap64,results/abl/S_m3fd/m3fd/00031.png,,6.600047818465358,13.100042731806573,6.580526828765869,0.7929052919374077,2.2714760816473154,3.064381373584723,0.5491492146665383
m3fd,00033,1024,768,1.6131502770003863,tile507_overlap64,results/abl/S_m3fd/m3fd/00033.png,,6.839801851529445,16.825146538080315,9.418022155761719,0.6296506208167116,2.2751167437492263,2.904767364565938,0.5877634869050006
m3fd,00042,1024,768,1.5830580319998262,tile507_overlap64,results/abl/S_m3fd/m3fd/00042.png,,6.547059340501301,14.443376523817163,7.288630962371826,0.7418029519338398,2.494561735384846,3.2363646873186855,0.5634218074561557
m3fd,00061,1024,768,1.5776561759994365,tile507_overlap64,results/abl/S_m3fd/m3fd/00061.png,,6.69795123132753,12.90703828793723,6.007845401763916,1.013790842180388,2.6793538772064602,3.693144719386848,0.5739637423170749
m3fd,00071,1024,768,1.5911703790006868,tile507_overlap64,results/abl/S_m3fd/m3fd/00071.png,,6.623824747121181,12.431600971401835,5.693079948425293,1.018571539373239,2.8669606552064524,3.8855321945796915,0.5831629464467852
m3fd,00082,1024,768,1.5704842240011203,tile507_overlap64,results/abl/S_m3fd/m3fd/00082.png,,6.6374250858986255,12.317723389354295,7.278905868530273,0.3508172530104696,2.2582771990904855,2.609094452100955,0.542475677189053
m3fd,00097,1024,768,1.5831948999984888,tile507_overlap64,results/abl/S_m3fd/m3fd/00097.png,,6.202624426738616,10.633239709006782,5.882950782775879,0.5066922112967741,2.3522073391493503,2.8588995504461243,0.5382920867120946
m3fd,00107,1024,768,1.5676787069969578,tile507_overlap64,results/abl/S_m3fd/m3fd/00107.png,,6.806778886966839,14.336980327647307,8.486753463745117,0.33544098643145315,2.5615780625530458,2.897019048984499,0.5716850073840328
m3fd,00112,1024,768,1.5676131529980921,tile507_overlap64,results/abl/S_m3fd/m3fd/00112.png,,6.642221452236424,14.002478833293088,7.869535446166992,0.5137461678859268,2.69566090763019,3.2094070755161166,0.5648409842988489
m3fd,00118,1024,768,1.5947427060018526,tile507_overlap64,results/abl/S_m3fd/m3fd/00118.png,,6.565285808119496,14.557936546769824,7.976789951324463,0.43238566664396116,2.0850456102688186,2.51743127691278,0.5661209920409128
m3fd,00147,1024,768,1.5895793880008569,tile507_overlap64,results/abl/S_m3fd/m3fd/00147.png,,6.735936687558189,14.52672900256442,7.582610607147217,0.608705257128441,2.610675010906714,3.219380268035155,0.5787025734337671
m3fd,00149,1024,768,1.5678643270002794,tile507_overlap64,results/abl/S_m3fd/m3fd/00149.png,,6.881003143616102,14.92788249725583,8.66642951965332,0.715114911318425,2.514619860792232,3.229734772110657,0.5886799195345553
