dataset,sample_id,drift_289,drift_385,drift_517,drift_649,drift_769
m3fd,00000,0.27305128093862474,0.2738352752020796,0.22870334789087732,0.21649879449797527,0.2179189118592436
m3fd,00011,0.2775854516801207,0.2805415065127185,0.2426669638249811,0.22964547708344207,0.23421807487898727
m3fd,00025,0.21423463228093698,0.22814942321316845,0.18735233234377469,0.18144026581041117,0.18754633363526296
m3fd,00031,0.19985599653509423,0.22920687893844727,0.18376662476690608,0.17958119771533665,0.18336557980826895
m3fd,00033,0.2733035677655832,0.2613901423713485,0.2338943009709984,0.22311018844186448,0.22648711649095465
m3fd,00042,0.2257466169026343,0.2338370330621763,0.18868482779208506,0.18531569452637509,0.19182962316639407
m3fd,00061,0.1657344860738873,0.177381647160335,0.14749914576194179,0.14022118774605408,0.1452432139839125
m3fd,00071,0.16017683887159495,0.17120689337289308,0.15023504548183497,0.143087447057201,0.145184323766549
m3fd,00082,0.21666916245682044,0.203654254053925,0.18572065118396863,0.17609103563028583,0.1812583477755969
m3fd,00097,0.18239293691055958,0.17866364307203553,0.16832244300293486,0.16050404567337107,0.16613952112378405
m3fd,00107,0.23492780370965505,0.2273549078808006,0.2060789484114749,0.18899074913593583,0.19503286365532402
m3fd,00112,0.2277343529351703,0.21774263969654462,0.19507541910474846,0.18426398284099443,0.18718543991537895
m3fd,00118,0.24595626493030132,0.25048524986745846,0.2191430757912407,0.2062236825217676,0.21021097534733435
m3fd,00147,0.22874385521002127,0.2327495232409238,0.1944233215685528,0.18352966311217922,0.18646277596526017
m3fd,00149,0.22988044001312424,0.2246708412804148,0.2125505423067342,0.19943001491704815,0.20379478375255655
m3fd,00150,0.24398542839803572,0.2318494726986109,0.21644075605163404,0.20520920473955395,0.20574121872607076
m3fd,00159,0.23022462444599423,0.20508249288063252,0.1943167886316136,0.18662899616429685,0.19129082539696185
m3fd,00177,0.2827201771277942,0.26789864840260635,0.2480219555146077,0.23727689838411747,0.24131560167950183
m3fd,00196,0.3114741033671674,0.2844636067270011,0.24828377642958255,0.22068260391862837,0.22470467817041884
m3fd,00202,0.2640861479928811,0.22745903708737003,0.20453963124892993,0.19327951109008223,0.19884271685458121
m3fd,00210,0.2568573909392523,0.20653754098266464,0.175490900905368,0.17001526681222479,0.17869802557307968
m3fd,00215,0.2583496626994951,0.2174185885668899,0.16979333793689477,0.16305621376851087,0.1681659302940951
m3fd,00232,0.1929948409486114,0.18315951021409527,0.16919610870280677,0.15893282070235892,0.1636426290756502
m3fd,00242,0.15701833745035332,0.1559746266609524,0.1492215658379712,0.1488617836010332,0.15035107755968402
m3fd,00255,0.10620681488922235,0.10284800340791944,0.09233485562576726,0.0895978917566217,0.09335320027777194
m3fd,00274,0.12042870337649958,0.11276460102826413,0.10134262684901074,0.0948955690842862,0.09998123969476991
m3fd,00284,0.11544183275470643,0.10756418908717369,0.09525933955749732,0.08987975215134958,0.0944693159273744
m3fd,00290,0.11903287936356732,0.11271222395631009,0.09931324205259873,0.09412767148002288,0.09740493502970204
m3fd,00306,0.11551353160474065,0.1128066383688886,0.10098347541014896,0.09456912918836169,0.10046406478195369
m3fd,00320,0.1613254778827955,0.1504185264362944,0.13758305233856616,0.12997973139745667,0.13648521381247636
m3fd,00325,0.08112402290177445,0.09565201954520486,0.11491038185060864,0.12217809823622394,0.12664710946611257
m3fd,00334,0.061786196499034496,0.07657760238551614,0.09472171501863302,0.09804473326968255,0.10174694265778284
m3fd,00339,0.08923497385109391,0.09725144916542316,0.11773335905766769,0.12771779524964788,0.1415255098766225
m3fd,00349,0.08987999635442612,0.11284899723160402,0.11480309335672623,0.12895301291171246,0.14315379580897025
m3fd,00353,0.09102543459450119,0.12272704273344204,0.1162508332176243,0.13066241702386838,0.14482119178708797
m3fd,00370,0.0971278892634384,0.10613185307686401,0.1159740726339562,0.12993729195249726,0.14360551411152067
m3fd,00385,0.08852938162943635,0.10921264795882923,0.11266661212791296,0.12234453886755381,0.13417869839568342
m3fd,00386,0.10336963044611269,0.10359931813802847,0.10664093197515678,0.10779979761730174,0.11539512251895423
m3fd,00388,0.07216920735380339,0.08104385382667834,0.09750786175168047,0.11177603141644565,0.12314801154062638
m3fd,00389,0.07180765940212375,0.07502881064280098,0.089453988976813,0.10006556385079757,0.11193371801973373
m3fd,00390,0.07358030890765377,0.07354435311082241,0.08051214769963588,0.08908009654317228,0.09575248091927957
m3fd,00400,0.17692374968169988,0.16802462407190044,0.16229655907136764,0.15879569208867228,0.16407601782115566
m3fd,00405,0.14639528616787023,0.13964345322234872,0.13301689853729848,0.12925502350431695,0.14006898347514452
m3fd,00409,0.11853245747550667,0.11589242287304913,0.11630851983988866,0.12062185163555683,0.12901412360623832
m3fd,00419,0.14423760309329126,0.14383373859822157,0.1439558309213933,0.14131870861851903,0.15344176671538634
m3fd,00421,0.12498408106292525,0.12526892607276552,0.1256352555527277,0.12852645759983372,0.13718996687335017
m3fd,00434,0.11973899583094083,0.12027998367993753,0.12220190610103032,0.1267862225464773,0.1339989703186395
m3fd,00441,0.11971294867791227,0.11634963010616395,0.11312535391904677,0.11509641022217731,0.12441647262193334
m3fd,00443,0.1697826202453171,0.16382494273931636,0.15788821129833686,0.14966916898360427,0.16198972704128567
m3fd,00449,0.07984606329904265,0.08046093396082887,0.08173901759696711,0.0884469298759828,0.09871903224801637
m3fd,00453,0.11748884702702578,0.11606754510789319,0.11594052980007752,0.11884137890263213,0.13131688614356007
m3fd,00461,0.09635551398825604,0.099405481432292,0.10317336385766174,0.11133378740399069,0.1256346959554142
m3fd,00479,0.14446830052603576,0.1438790119988289,0.1425721285842514,0.14467244577159377,0.15474272724481164
m3fd,00489,0.11668363084250177,0.11169024683415141,0.11021474867679215,0.10769074892988029,0.11798908440714717
m3fd,00497,0.10840170368864932,0.10843732241342363,0.11230637403150578,0.1157566575501141,0.12685915895452415
m3fd,00512,0.1833788111255087,0.17325493503855383,0.17780307236738846,0.17077145334715127,0.18195976215229714
m3fd,00525,0.14763246100020488,0.1428194468925107,0.1459354658411941,0.14637822445005622,0.15728931002786362
m3fd,00527,0.1365735334544962,0.1413663337643143,0.15667631258326775,0.1627618888457466,0.1672584581076101
m3fd,00537,0.12695129530869487,0.12121350979825518,0.11574919991149624,0.11421351575769578,0.12053478574430077
m3fd,00555,0.1619407620175427,0.1523213694578589,0.1446415381980426,0.13937684913386117,0.14597423883499738
m3fd,00572,0.13941370107924178,0.13418826442346588,0.12609245807080927,0.12394492232652021,0.12943118769857942
m3fd,00587,0.07909356767054931,0.07803573135605957,0.07407062766277273,0.07367918114298633,0.07715797946818004
m3fd,00606,0.07553648672125601,0.07126128258602016,0.06663853096541128,0.06497982747390096,0.06759494275839406
m3fd,00621,0.0846349062106494,0.08051938619243204,0.07820422962779516,0.0779131199999139,0.08349882684355958
m3fd,00633,0.09412374974472482,0.08801388192836657,0.08342906969206787,0.08571515724639633,0.09086652749650836
m3fd,00643,0.08874750586015157,0.09626866536486378,0.10400790879011668,0.1077838739858138,0.11523995826038247
m3fd,00652,0.09626422436506665,0.09525733071337117,0.10149921022849429,0.10544748445586194,0.11312734683352788
m3fd,00653,0.09878587879417011,0.09531256542608979,0.09774710084435101,0.10170566528564118,0.10961966103714815
m3fd,00661,0.11421105815507226,0.1092851317720156,0.11225367373954298,0.1089101886796735,0.11539849815049263
m3fd,00671,0.12592325269603666,0.11808605513383552,0.11716908924128244,0.1162012119965643,0.12164906462324054
m3fd,00676,0.1096968565913109,0.10472069157470787,0.10677763276242602,0.10552193581563973,0.11062885492690244
m3fd,00677,0.11294803775110429,0.1082258888240506,0.10649838781515497,0.11036447682040107,0.12043332934576789
m3fd,00687,0.11333611651425102,0.11310605567548859,0.1136633719421557,0.11623902942166087,0.12401071297126565
m3fd,00697,0.10092493422675974,0.09874081634148713,0.09860936815319477,0.10233886731897512,0.10905500511376442
m3fd,00712,0.13581332688769154,0.1376598009998774,0.1442026568235003,0.14999824994628597,0.1572790140303214
m3fd,00716,0.06715717664351717,0.08140460411953576,0.09721168113150402,0.10283495574687307,0.10950478917335593
m3fd,00719,0.2585776440511308,0.24460963685235626,0.23856090202836433,0.24494257994970425,0.2692134971092821
m3fd,00725,0.24880656483129016,0.2358155494440961,0.22915237340688455,0.23868914825074816,0.26362173067771566
m3fd,00726,0.2557714974552978,0.24728901366116074,0.23926711327533956,0.24511988176701416,0.26822374889711875
m3fd,00738,0.26764421267104244,0.2710094342600642,0.2823102365406823,0.26548163774060896,0.2608605574281384
m3fd,00760,0.2974191004885417,0.2745657437957163,0.24611571104698138,0.22815786056709675,0.23282096351558534
