name,EN,SF,AG,MI_IR,MI_VI,MI,QABF,VIF
00000,6.808876598625396,14.628067142220807,7.967155456542969,1.6831511508028418,2.6236398698325023,4.306791020635345,0.4096710663962584,0.373715765135779
00011,6.74483384302834,14.555781646311903,7.874046802520752,1.7006810256361908,2.5260493945300593,4.22673042016625,0.4068813191796199,0.37161246682056936
00025,6.289833518933529,11.121599261026457,5.686267852783203,1.2753476984801335,3.007699839243484,4.2830475377236175,0.42956817153659876,0.42002356109874844
00031,6.508276226471121,11.759269948350743,5.778133392333984,1.4389553432612292,3.1256872129061426,4.564642556167372,0.43415712888783436,0.41837293526337227
00033,6.741936059503331,14.334163865965802,7.621233940124512,1.7427915132935736,2.472961360480616,4.21575287377419,0.397094503098621,0.3648525268498161
00042,6.368783160162968,13.243763982747984,6.551152229309082,1.1941335665075483,3.1950700853830014,4.38920365189055,0.45243378607729673,0.4234160594547878
00061,6.483869711366913,11.21638587492232,5.092979431152344,1.6831336601462983,3.0787923071817698,4.761925967328068,0.41013828876745934,0.3830556375916242
00071,6.4146035225918965,10.786501353365043,4.903398036956787,1.5997959529231078,3.190984413582715,4.790780366505823,0.41721584218645885,0.39599715350951786
00082,6.587453012808075,11.4912087345841,6.409512519836426,0.8648156659077426,3.220362745591709,4.085178411499451,0.43768595441794855,0.41605930645974454
00097,6.013453624247324,10.43901020308576,5.263827323913574,0.9019010395142318,3.306216985393613,4.2081180249078445,0.4419534200131901,0.414745006676678
00107,6.73401808257668,13.1890156017993,7.489251613616943,1.0568063039946167,2.9862349381806745,4.043041242175291,0.44800607034918566,0.4082693455079761
00112,6.497161526262348,12.947875184978809,7.150882244110107,0.8321889931722382,3.380503302892781,4.212692296065019,0.4778205497331706,0.4242560980073482
00118,6.379270189111589,13.499916607241532,7.079651832580566,1.0096045767101383,2.8396312491911897,3.849235825901328,0.4633147662629488,0.40704100096489254
00147,6.6354509443928995,13.508246198157892,6.879955291748047,1.1452117271720008,3.3459169533436484,4.491128680515649,0.48595129301121975,0.4278250711365495
00149,6.810439823932902,13.667393851137728,7.712432861328125,1.540867281014304,2.9515512156252255,4.492418496639529,0.4719522558008163,0.4436277154626925
00150,6.802717518160695,13.85145960098424,8.036674499511719,1.3075709427480517,3.186353389936619,4.493924332684671,0.4706824061671861,0.4398787023963138
00159,6.594411924609405,11.902842297899108,6.97437047958374,1.2425237373027882,3.1125528608423427,4.355076598145131,0.45253434171060114,0.42817561042695834
00177,6.8902866426079195,13.328420503686678,8.023493766784668,1.1015792612311621,3.3612847935300967,4.462864054761258,0.45129991149232573,0.4220781836602483
00196,6.814990376858932,16.61840652632958,10.080808639526367,0.7281191987198442,3.6781845766136954,4.40630377533354,0.5280661971955364,0.41441897777469444
00202,6.646447626456512,13.338646725336393,7.626348972320557,0.9828201311250757,3.5810938423048673,4.563913973429943,0.5002741484732156,0.4361105463584063
00210,6.6056141739197685,11.966966851607731,6.520102024078369,1.428678697374747,2.9518928137561065,4.380571511130853,0.43897957430385925,0.4369609752571655
00215,6.641674867563161,12.368338809162779,6.979384422302246,1.1237307457878254,3.2557131429500186,4.379443888737844,0.47202556843638577,0.46402506950732453
00232,6.476844576958973,11.277365591386717,6.370532989501953,1.128115128121466,3.0076835557841686,4.135798683905635,0.4398022038937775,0.42019321871450444
00242,6.5414610507439335,9.99274537953384,5.0508623123168945,1.5470763487875652,2.9804970610679606,4.527573409855526,0.41170578736192515,0.4118651285843588
00255,6.308129708779312,7.981627493551131,3.9409430027008057,0.9228490888674,4.15475841550603,5.07760750437343,0.4547759599878974,0.4635086796251192
00274,6.324634414496154,8.360638761930211,4.166186332702637,0.8772522887230169,4.186471910827839,5.0637241995508555,0.454298017620188,0.4631491985546192
00284,6.299940450559912,8.1052256895453,4.055505752563477,0.9271434616285528,4.168421231656598,5.0955646932851515,0.44284445880176404,0.45821764250023794
00290,6.278241482734271,8.092492562851142,4.050739765167236,0.9062406640919163,4.07931443496852,4.985555099060436,0.4454940972029094,0.4654299727258357
00306,6.2087769439753755,7.928294646764709,3.9638044834136963,0.8951917981713443,4.055808195357049,4.950999993528393,0.4326779268359958,0.45849307201549405
00320,6.399478450968477,9.707645474520485,5.172336578369141,0.8952934297654389,4.130757324947755,5.026050754713194,0.48376013202983675,0.4580880410615603
00325,7.023238514453681,3.4778223773961083,1.9651737213134766,5.3177537990895996,0.9529344203572633,6.270688219446863,0.2653600915601928,0.42403023294574566
00334,7.171487923407004,3.479211870667811,1.9668606519699097,5.64388893984469,1.2989828912641412,6.942871831108831,0.3140844221753104,0.4522468811698962
00339,6.891659287757179,4.477408796237594,2.264888048171997,3.8179764707305965,1.423607921769349,5.241584392499945,0.2739283116522713,0.4182552985652912
00349,5.9454175892612975,7.7205149124105725,3.6781890392303467,0.5958937291558307,3.6118810055028465,4.207774734658678,0.35219358920223204,0.41303681652248253
00353,5.931007530975081,7.751770602452103,3.689779758453369,0.5853423817671115,3.6134652730768715,4.198807654843983,0.3553235476104082,0.4173952812261609
00370,5.966199228857917,8.074582726489927,3.8682172298431396,0.60751305775999,3.5850900747585714,4.1926031325185615,0.3646235994887274,0.4170336168305814
00385,5.906237223329461,6.983175794406206,3.531778573989868,0.6528087203985943,3.5713388744681325,4.224147594866727,0.3491537207679941,0.4179888173446604
00386,6.734916606909581,9.276018746463624,4.26632022857666,1.8979340571923,2.5564118726955694,4.45434592988787,0.363820954943103,0.43436156018152766
00388,6.382078342618906,6.641284279545759,2.890338182449341,1.1960144195524853,3.2375506740154814,4.4335650935679665,0.28508709190874515,0.4196815960192193
00389,6.683187504103864,7.874240835979202,3.4935364723205566,1.7427259621217743,2.990751689484162,4.733477651605936,0.34264856342205874,0.43888944909307104
00390,6.725713689920902,8.142503880247931,3.6138129234313965,2.387582557717117,2.2707917806243327,4.658374338341449,0.36357292488325893,0.44889873423756044
00400,6.759915055898938,11.20417310528178,5.338359355926514,1.847786274747279,2.380499215317736,4.228285490065015,0.33859121348364735,0.3792337528773279
00405,6.65088034358187,11.834318405541191,5.139252185821533,1.7124449238753132,2.6573806032413687,4.3698255271166815,0.38125698670639513,0.4080336606925329
00409,6.781722204251431,9.804910365618237,4.4264326095581055,2.2718447030753084,2.6337643657359986,4.905609068811307,0.35480789586448314,0.40920394082226064
00419,6.835350345033887,7.603498732574508,3.4335289001464844,3.69283867669445,1.4265343165700637,5.119372993264514,0.2689985591088331,0.37028113854961264
00421,6.613223001681874,9.098176108993083,4.290286064147949,1.6879004065082515,3.2529861639278996,4.940886570436151,0.33620474005904516,0.3729152131057923
00434,6.77940578565534,8.943605054385882,4.2296881675720215,1.8865109602589167,2.944097714669286,4.830608674928203,0.3502879265944886,0.39770480883511306
00441,6.667591989569036,7.908665402794337,3.29455828666687,3.7239968154023595,1.4615119279666793,5.185508743369039,0.28829321795357,0.38677599993759065
00443,6.856863344140525,6.140724946698962,2.7752525806427,4.543842643785099,0.9711217162511698,5.514964360036268,0.1950678865302753,0.3563053112569257
00449,6.714823564035239,6.302049993049431,2.8604636192321777,3.490365146856819,1.677562383213286,5.167927530070105,0.3031163607436252,0.41603839670034104
00453,6.162438910578528,7.3802031574307705,3.399125814437866,1.7578565494706955,2.3385461339502647,4.09640268342096,0.2774461932668907,0.3907694487131754
00461,6.3240711135525345,7.153424994522295,3.1503665447235107,1.8045580567824278,2.6175260997012284,4.422084156483656,0.2668983998757185,0.3575800380392
00479,6.92737215528065,10.466761302312106,4.469633102416992,2.689310889703389,2.3665717755296005,5.055882665232989,0.3033656100979123,0.3604543106096212
00489,6.927929769744385,7.415686744570416,3.07733154296875,3.5253789108740703,1.7069154475760573,5.232294358450128,0.28150099255014266,0.38843668891620453
00497,6.809988908165528,9.54178982239757,3.9847233295440674,3.4845670085797624,1.5952728212675034,5.079839829847266,0.3421971896566184,0.4113554496047254
00512,6.852369800045552,12.806143253068097,6.6724724769592285,1.78061250966697,3.348583560408679,5.129196070075649,0.39948168341665324,0.3810542695881194
00525,6.793291300619725,11.308614132856992,5.246118068695068,2.4550316023047607,2.4609931917280634,4.916024794032824,0.3600956661231495,0.3874678488785098
00527,6.875651271846945,10.87275675509039,5.223033428192139,2.16733081666437,2.874560327164334,5.041891143828704,0.36753581737357727,0.38737934877180136
00537,6.725176657518004,9.339052795754174,4.027909755706787,2.968285385362209,1.8880434212457444,4.856328806607953,0.31812850144693505,0.38412552405737355
00555,6.737329614744677,10.536450291919376,4.624979019165039,2.8274291263569973,1.8942608562603784,4.7216899826173755,0.3104558483279231,0.3645060080915784
00572,6.601157887134809,8.957026936385658,3.82651948928833,3.262554067805224,1.656702658992701,4.919256726797925,0.3065074893337286,0.3812706511082461
00587,6.728576130227679,5.185871783845224,2.116764545440674,5.026064144536962,0.8643560723387546,5.890420216875716,0.2697527623915915,0.4500116439333688
00606,6.792285103532278,5.958777137318591,2.5829946994781494,4.880076113913006,0.8751946224459829,5.755270736358989,0.3150749763093781,0.44845652053876417
00621,6.938547818737616,6.780669948472527,2.7965989112854004,4.981317682349435,1.0069142480756461,5.988231930425082,0.32011056222427303,0.44673416916714814
00633,6.689329639497761,7.284012659632698,3.331225633621216,3.3857901724463613,1.7101403074025834,5.095930479848945,0.3350567594192529,0.4315941883211136
00643,6.831307631955386,5.7165835110447665,2.704435110092163,4.251740954685214,1.0970582631351806,5.348799217820395,0.2900801802660999,0.3555365592971715
00652,6.7101192800915035,5.354038438993138,2.378042221069336,3.5383843438949625,1.4364754508925917,4.974859794787554,0.2676695587971598,0.3508910770367041
00653,6.750054960350067,7.07282876083087,3.2886693477630615,3.481106801227113,1.3648889567939746,4.845995758021088,0.32286006511624976,0.4321742696892281
00661,6.343084327625528,6.179606618974846,2.9394547939300537,3.7034705782440462,1.473853339655401,5.1773239178994475,0.28336255778388464,0.4065788258124811
00671,6.428620935412554,6.677506840290929,3.1885855197906494,2.5669023097511428,2.216261877974713,4.7831641877258555,0.30132225048807904,0.39556345488794364
