metric,n,mean_delta,ci95_low,ci95_high,wilcoxon_p,effect_size,gain_ratio
RGB_SSIM,300,-0.009279895125941197,-0.017275613273145696,-0.0012861062894522172,1.2516521818994875e-07,-0.1267612715111941,0.35
CIEDE2000,300,-0.22886794050534567,-0.41022496718168255,-0.06759678800900784,0.07978170854510402,-0.15180739851396252,0.44333333333333336
Colorfulness,300,-0.004304677200658196,-0.006431870410968359,-0.0026983666149701423,7.961631354191923e-12,-0.2598214900236192,0.30666666666666664
SF,300,-0.12608389246286672,-0.1337518760761097,-0.11849136893286993,0.0,-1.9092197207138066,0.016666666666666666
AG,300,-0.1627521006266276,-0.17028708690404892,-0.15514368762572606,0.0,-2.3066391640111554,0.006666666666666667
EOR,300,0.0016034770653808239,0.0010093832608383654,0.0022331684024635766,8.718171962129873e-09,0.2968188558260689,0.6333333333333333
