metric,n,mean_delta,ci95_low,ci95_high,wilcoxon_p,effect_size,gain_ratio
SF,300,-0.08791444438675104,-0.09308645999378519,-0.08336839345997468,0.0,-2.050985595400338,0.013333333333333334
AG,300,-0.1365551201502482,-0.14268807836373648,-0.13047939268747966,0.0,-2.4859912846538097,0.0033333333333333335
EOR,300,0.0009535662760003042,0.0004633054257128887,0.0014751378944761638,0.06541744358074841,0.20284492366798082,0.5533333333333333
ECS,300,0.000778619620528848,0.00035795757430811485,0.0012218082825776948,1.5001819853033282e-07,0.20267535380466808,0.6266666666666667
OBR,300,0.0002168712302982767,3.2818159266849536e-05,0.00041084760377022093,0.0028563264447003522,0.1242867999994143,0.5566666666666666
RGB_SSIM,300,-0.010061666098144956,-0.016168943328553155,-0.0038158628000631288,7.863065198954189e-08,-0.17952655276643964,0.3466666666666667
CIEDE2000,300,-0.14322518905003864,-0.275647482107083,-0.01817610263824464,0.09876443076079355,-0.1261996892173017,0.4633333333333333
Colorfulness,300,-0.0033981384196645394,-0.005219910540670665,-0.0020009353921114715,8.279643637365552e-11,-0.2375575307290782,0.33
