name,SF,AG,EOR,ECS,OBR,RGB_SSIM,CIEDE2000,Colorfulness
00000.png,16.903282033751008,9.66685962677002,0.6193726369122637,1.4829578689833725,0.9833485942957914,0.8047399472993725,3.9577245712280273,26.934235014185514
00011.png,16.874805294397845,9.615785598754883,0.6188043360915482,1.4929370981781531,0.9840058345630014,0.833032130537119,3.780627489089966,27.131524997661465
00025.png,12.572080347401446,6.38612699508667,0.6205397485218559,1.566592595612819,0.9851942303289323,0.8603765881714508,2.522650718688965,12.93443268847645
00031.png,13.120778610963452,6.540350437164307,0.6243020421639364,1.593925518925519,0.988552142869257,0.8321703664923943,3.0165157318115234,12.379080673873277
00033.png,16.791483864048974,9.395843505859375,0.6256546854942233,1.5183312134316969,0.9841466309471328,0.8420132051411212,3.709268569946289,25.30741738562288
00042.png,14.471360398454781,7.265740871429443,0.6256304306226304,1.5970712936900986,0.9878160607244137,0.8599622624809099,2.5453999042510986,14.341093099821874
00061.png,12.935479631170814,5.966176986694336,0.6302464152287814,1.6441473308123349,0.9925470578260133,0.8820111649297199,2.9514272212982178,10.242270975003771
00071.png,12.556502553960009,5.65829610824585,0.6206286109725284,1.6374844549550467,0.9934828543061531,0.9044827683428593,2.753028631210327,13.364542877589049
00082.png,12.304828559773355,7.272994041442871,0.6018919499984643,1.5134168066371456,0.9870225705488689,0.916816804551476,2.2986092567443848,13.537050352810528
00097.png,10.589722445038543,5.837311744689941,0.6130954617764584,1.5626484636082951,0.98921690992299,0.9638451027887598,1.6208653450012207,11.366749135575734
00107.png,14.305381381103645,8.472931861877441,0.601273408928577,1.5099607268583521,0.9909870953519526,0.918369779579432,2.5222482681274414,17.26756773492391
00112.png,14.068027490514014,7.847631454467773,0.6174262478073672,1.5140220670149505,0.9862748921235345,0.8851593851431012,2.251757860183716,14.184229882634089
00118.png,14.562845794622703,7.947475433349609,0.6150511210990718,1.5139645759236362,0.9863660643881262,0.844010264106639,2.6745405197143555,26.68491180919716
00147.png,14.585530835392138,7.556717872619629,0.6154296589079198,1.6049135198123337,0.9909351468692762,0.8963916819920262,2.7068469524383545,12.467844248203292
00149.png,14.913327166988303,8.65362548828125,0.6063762126810683,1.5052052062238594,0.9900221259568841,0.8393971933412159,4.122523784637451,28.892482772386444
00150.png,15.409513209603196,9.102312088012695,0.6006562801768942,1.4894554707379135,0.9881728543692613,0.8801037773214145,3.2016258239746094,27.070042692394374
00159.png,13.135312463587862,7.830936908721924,0.6078124172644392,1.450569239691115,0.9846233440198124,0.8589523407255476,3.1699600219726562,27.804974236185004
00177.png,14.875899588009542,9.316131591796875,0.5915845261520642,1.4219440428434706,0.9867218720039368,0.8955627662932718,2.6942856311798096,18.957232685782074
00196.png,17.27740302332814,10.78002643585205,0.5953288832038501,1.4989974452666186,0.9901662413848645,0.9403213540431709,1.7941786050796509,10.111409622432538
00202.png,13.953748320423156,8.180669784545898,0.6032920665832058,1.5160660240596149,0.9909776986347834,0.9071036815953817,2.3492343425750732,21.758760643562418
00210.png,13.469265984943979,7.531637191772461,0.6117970510510887,1.5429029548751623,0.9857477150560426,0.7820787043494469,3.7995259761810303,21.56221366640336
00215.png,13.608191293397258,7.737061977386475,0.6128577616784586,1.5320787737264898,0.9850436227669298,0.8108520406599796,3.598811149597168,26.987549818044315
00232.png,12.478730034194607,7.214491844177246,0.6109271211636528,1.5150624167014275,0.987617989534657,0.8477154304599147,3.0653421878814697,27.98414981139795
00242.png,11.306433153021487,5.887059211730957,0.6231674922590602,1.5918624075620837,0.9865047118997735,0.8403025098996632,3.9673643112182617,19.306673004829474
00255.png,8.608102462043142,4.173445701599121,0.5896293072002011,1.5736932239347698,0.9854883736765057,0.955169623609836,1.7624582052230835,7.718059735257695
00274.png,8.933126283083302,4.542207717895508,0.5913056956081728,1.5793362829600373,0.9883222217503927,0.9328417391372645,1.9385794401168823,7.630931342994737
00284.png,8.814152997685362,4.460141181945801,0.5949936266403377,1.5669472932292463,0.986706820495419,0.9253321369705315,2.0039730072021484,7.221818814228538
00290.png,8.737632998404917,4.449264049530029,0.5981652557573379,1.5654663151787804,0.987049382191839,0.9120319761732985,2.0582516193389893,7.271447158494239
00306.png,8.629094612298518,4.426794528961182,0.600909413197281,1.568777698065015,0.9865499754066385,0.9066425974255424,2.120495080947876,7.214772214832838
00320.png,10.310927995458682,5.5641255378723145,0.5964416516388109,1.5841809408188041,0.9872054671403498,0.9500008648533423,1.7644639015197754,9.331845150929329
00325.png,5.356808815100439,3.4435839653015137,0.5874778366772199,1.3833156962901159,0.9610015058319084,-0.022504571790596967,20.235441207885742,16.690304030496318
00334.png,4.8635012750580024,2.8609259128570557,0.5900931460632953,1.4568818726407353,0.9727957126451449,0.28480723254844825,17.68364143371582,16.804608582167106
00339.png,6.809045945474905,3.2815446853637695,0.5830271253479173,1.4827543868624342,0.9771075426949004,0.596786051839989,7.833754062652588,19.803789759119688
00349.png,8.695260382704209,4.3209662437438965,0.624470243794051,1.5438749179301605,0.9634051212480923,0.8453167282053123,2.963961601257324,14.177208421897326
00353.png,8.698386937048735,4.3277411460876465,0.6214050083689487,1.5394458787165894,0.9656828575800337,0.8425553020121237,2.9897959232330322,14.523931468783932
00370.png,8.920278502146788,4.490442276000977,0.622200871831658,1.5345728812349242,0.9640825186328293,0.854224476267842,2.8538589477539062,15.67867970313973
00385.png,8.042971578218237,4.15061092376709,0.6212678963276459,1.5380230275266882,0.9635443166785387,0.8150895043527986,3.0898351669311523,13.785254529388304
00386.png,10.78289141793227,5.356747627258301,0.5983088744436886,1.608756250286127,0.9918579897715997,0.6708203651930912,5.239075183868408,21.312267581355528
00388.png,7.998565215045003,3.9269042015075684,0.5802919930321229,1.546319208953248,0.9796344558859733,0.7073488144203214,4.094173431396484,12.00056540070843
00389.png,8.948205689278089,4.398586273193359,0.5947647991298356,1.5619682720816734,0.9830347528974879,0.6852286158055972,5.147846698760986,18.665130180449594
00390.png,9.398461844768743,4.41332483291626,0.6217477805935291,1.5944614633054133,0.9810611205432938,0.590669955075664,6.596715450286865,25.94501635704687
00400.png,13.703845942830512,7.334741115570068,0.57694070769936,1.5881281327125156,0.9939035764554257,0.7646597798444518,4.863761901855469,32.54842207895091
00405.png,13.539784339304255,6.41571044921875,0.597976808056149,1.6554508748317631,0.9935448299262024,0.7198815463393662,4.451437473297119,18.961982236236132
00409.png,11.822983058986216,5.666745662689209,0.6092479976964511,1.6614879270419978,0.9920709034416014,0.6711950406405925,5.892340183258057,16.911972894764297
00419.png,10.993742957560583,5.4663214683532715,0.5985598532240696,1.580262520708551,0.9815108517730076,0.5240797751312114,9.507747650146484,21.36740294599045
00421.png,11.537305360101257,5.674798011779785,0.608657851611854,1.6446428480376911,0.9855885793730185,0.7985416448295011,3.970643997192383,17.72201184574947
00434.png,10.879509749795227,5.393816947937012,0.5919128468903151,1.6308461409233683,0.9871509990840316,0.7611785976996583,4.730770111083984,19.64008383771962
00441.png,10.8168085775638,4.902012825012207,0.5921875094914987,1.6255822961581194,0.9882573540017479,0.5396164898113804,8.575100898742676,16.101691505417158
00443.png,11.831345823562511,5.936487674713135,0.5852801785884825,1.596463464278445,0.9892879860904966,0.4728554857144917,13.160468101501465,24.418270794670537
00449.png,8.767184629855304,3.9458563327789307,0.5926292956657534,1.5565459950942646,0.9798572870972942,0.5414853530356675,8.64893627166748,10.704253103763275
00453.png,10.215984272139835,4.841724395751953,0.6100174737971471,1.601508353999786,0.9865372706373376,0.5685742217968585,5.399852275848389,12.686723632404131
