metric,n,mean_delta,ci95_low,ci95_high,wilcoxon_p,effect_size,gain_ratio
SF,300,0.0037598067524006406,-0.0013899287936473817,0.009436868419560185,0.1996809920922864,0.0734856139199787,0.5266666666666666
AG,300,-0.06863567352294922,-0.07416574734449387,-0.06360338344176611,0.0,-1.415890069188276,0.07333333333333333
EOR,300,0.0005835139390180144,0.00015609022256015198,0.001038377646864588,0.2274155155591817,0.14243217630771784,0.44333333333333336
ECS,300,-0.00033428809479376433,-0.0006940916533739437,8.448248460672698e-05,0.06600280409541481,-0.09574556435765656,0.44666666666666666
OBR,300,-0.0008707369675817297,-0.0010485299325062672,-0.0007044191928172233,0.0,-0.5668815346135786,0.19333333333333333
RGB_SSIM,300,-0.009169591228522365,-0.013559172769948112,-0.005064903657604281,1.3199208357850267e-05,-0.2407660309433846,0.39666666666666667
CIEDE2000,300,-0.12896170337994894,-0.21930925760666528,-0.04189353153109553,0.0023757172808092086,-0.16476220047437942,0.42333333333333334
Colorfulness,300,-0.00284195606115279,-0.004641173119341342,-0.001457478897055564,1.9211637170002405e-08,-0.20212629158720472,0.36333333333333334
