dataset,sample_id,width,height,seconds,inference_mode,fused_path,rgb_path,EN,SF,AG,MI_IR,MI_VI,MI,QABF
m3fd,00000,1024,768,8.975278185999741,native_padded,results/h5_smoke/none/m3fd/00000.png,results/h5_smoke/none/m3fd/00000_rgb.png,6.891924196742847,16.67395816857874,9.498869895935059,0.8184366231061877,2.9779167584738486,3.7963533815800363,0.5918668723295544
m3fd,00011,1024,768,0.863286424999842,native_padded,results/h5_smoke/none/m3fd/00011.png,results/h5_smoke/none/m3fd/00011_rgb.png,6.835768280705279,16.678031899187438,9.453327178955078,0.7829914587521174,2.8817574392084304,3.664748897960548,0.5903712090976883
m3fd,00025,1024,768,0.721600779000255,native_padded,results/h5_smoke/none/m3fd/00025.png,results/h5_smoke/none/m3fd/00025_rgb.png,6.397497677599861,12.382784543578076,6.217336177825928,0.9046342502556501,3.050047849968763,3.9546821002244132,0.5545402162455134
__mean__,__mean__,,,3.520055129999946,,,,6.70839671834933,15.244924870448086,8.389844417572021,0.8353541107046517,2.969907349217014,3.8052614599216663,0.578926099224252
__std__,__std__,,,3.8578588749550695,,,,0.22103096597642782,2.023839517162356,1.5363078193276638,0.05108093722173418,0.06893730758669056,0.11853222020067034,0.017254230758770223
