dataset,sample_id,drift_289,drift_385,drift_517,drift_649,drift_769
m3fd,00000,0.2681748508546048,0.2507971363841377,0.22396433666781623,0.2115214031320244,0.21355601505970845
m3fd,00011,0.2722882049688442,0.25458296720046836,0.23743179166599426,0.22253002198178862,0.22876518700353787
m3fd,00025,0.18412057937391324,0.18354380859805508,0.18063415925592563,0.1767584948829669,0.18451812989881322
m3fd,00031,0.1855460285961168,0.18262876248682458,0.18083398712979482,0.1778227105807344,0.1840705660314893
m3fd,00033,0.2643093781387874,0.24597710695412023,0.22766603554061593,0.21641012587982378,0.21963072066329747
m3fd,00042,0.1996275111931224,0.19150697714425746,0.1882778859651384,0.1835766389359198,0.19186087482152314
m3fd,00061,0.15360748896662513,0.1499573413206996,0.14558873810128536,0.13878062256467494,0.1433053166634447
m3fd,00071,0.15087709853800324,0.14368136911324958,0.14048570837489882,0.1359821787890545,0.13969312288880764
m3fd,00082,0.21249204211445594,0.19768164475200922,0.18724534539390825,0.1812326724894735,0.1867871183928559
m3fd,00097,0.17536298392814087,0.1708092657039154,0.16513262161921904,0.16116566210712902,0.16824736483125657
m3fd,00107,0.23078133592301675,0.2236714683993547,0.20459237400274766,0.18839772333116034,0.195416540364858
m3fd,00112,0.21599700596007054,0.20350199658654766,0.18708906183820073,0.17738032719795482,0.18044449611698565
m3fd,00118,0.23139781423965,0.21927182342629536,0.21425663407350282,0.2030211473816469,0.20796191485603466
m3fd,00147,0.20626633284438045,0.20103316947905803,0.1898128872137803,0.1799264896473438,0.18280023137125478
m3fd,00149,0.2226993654992827,0.21356413453486012,0.20044455116767823,0.19397753088672554,0.1976217582210017
m3fd,00150,0.23820935331743232,0.22431259355716315,0.2068868985791975,0.1943294441269623,0.1982584316671142
m3fd,00159,0.2127049050783385,0.19585448003251893,0.18650918833009167,0.18011884997938565,0.18485747403654929
m3fd,00177,0.27543562630960383,0.2591522544288506,0.2428473927040744,0.23483237949227487,0.2383154024930858
m3fd,00196,0.3059282815057639,0.2778937920609025,0.24463786278764021,0.21959869807753896,0.22504687236575094
m3fd,00202,0.23183722072611024,0.21495252337817472,0.19974184158444508,0.18830381759124815,0.1934408362354456
m3fd,00210,0.20478244293766312,0.18279472803824726,0.16986259482024757,0.16233172886444802,0.16892296835518117
m3fd,00215,0.19719653721804453,0.17254239243230518,0.16349451256933767,0.15714986261126695,0.16046631059516048
m3fd,00232,0.18693790606954364,0.17543224738712748,0.16497005476324111,0.15564456810701688,0.16019326242582543
m3fd,00242,0.15319209628535058,0.14897352390485585,0.14507239811772799,0.14453784188846353,0.1465522428632049
m3fd,00255,0.10531440666281133,0.10132097426938214,0.09067205422766522,0.0880223730098828,0.0926849211020857
m3fd,00274,0.11923183939036197,0.11079677904731788,0.09947820748645542,0.09298397983541784,0.09930266716520342
m3fd,00284,0.11422336793468857,0.10569063647712995,0.09307543298603138,0.08771353212714728,0.09289161095676801
m3fd,00290,0.11783381767027223,0.10968869188602315,0.09660750196070234,0.09098271098196709,0.09514290048341556
m3fd,00306,0.1140542898572331,0.10832544149644552,0.09814371256955257,0.09197952403792176,0.09829168083420747
m3fd,00320,0.15985344307578764,0.14920811542317236,0.13626628751553982,0.1283359757574727,0.13489725954997756
m3fd,00325,0.07274775093244179,0.08312020323448543,0.10791520893433881,0.12170317517726437,0.13059452718936193
m3fd,00334,0.057349976539859515,0.06633744337367231,0.0842141848653285,0.09272664333643699,0.10286733536487203
m3fd,00339,0.08264734701759024,0.08526521095685291,0.10509659521936521,0.11874022989183464,0.13102664794227248
m3fd,00349,0.08735393363424493,0.09694710436007259,0.11724385360358092,0.140621279109021,0.16012384198979068
m3fd,00353,0.08793995072304495,0.09635388054835348,0.11917179205790218,0.14415187843538635,0.1632552114649085
m3fd,00370,0.09332325491780913,0.10242013369243297,0.12199032153377154,0.14411706209855768,0.16337564601638344
m3fd,00385,0.08535832006455468,0.09398473857559497,0.11292466880692797,0.13517734081940957,0.15357598585937227
m3fd,00386,0.0995111085710394,0.10137654246774364,0.10350078470924418,0.10354435069070367,0.10895878193043018
m3fd,00388,0.06872012173162256,0.0785945328707437,0.09456704722962694,0.11091619168414624,0.12512192887730278
m3fd,00389,0.0712764733407496,0.07689937735606656,0.08514161044089308,0.09563469213237896,0.10706297631906814
m3fd,00390,0.07386859260719902,0.07560892027114086,0.07984243320784945,0.08296663128104709,0.08933056784851134
m3fd,00400,0.17314792290300984,0.16600474666963017,0.16204048891203926,0.15966051921921465,0.16418322282341857
m3fd,00405,0.1433869463378291,0.13766368376233262,0.13272018259009888,0.12934891716432895,0.13660669323316144
m3fd,00409,0.1170243734896027,0.11795422950674539,0.11778876687538808,0.11791425342144335,0.12387488684944015
m3fd,00419,0.14305399275275854,0.14046097719090667,0.13713416674532886,0.13408366533683014,0.1438854585180519
m3fd,00421,0.12252842326458024,0.12550981901335245,0.12499283960422514,0.12805622811442285,0.13590906454713392
m3fd,00434,0.1175074492100775,0.11908712691993228,0.12079282806512759,0.12330246083133489,0.12988044227669981
m3fd,00441,0.11686182408801582,0.11561585208579961,0.11164976291201933,0.11090035670029907,0.11633247516197343
m3fd,00443,0.16736171480395223,0.16137955838470086,0.15345819525645887,0.14369292517561671,0.15411513225325812
m3fd,00449,0.07873254505171379,0.07972105435583621,0.07975052268560812,0.08357597305155462,0.09044224400540979
m3fd,00453,0.11648025577384846,0.11824843674531327,0.12007541854513126,0.12214061679456922,0.13232562604917508
m3fd,00461,0.09606238645018095,0.10124639131724578,0.10593252424210187,0.11335798148755882,0.1253558846590933
m3fd,00479,0.14069168219924055,0.1394837413374207,0.13834096401470897,0.13868837574143156,0.1467615338394227
m3fd,00489,0.11533682365130182,0.11379750901482677,0.11546948121658762,0.11210525455342069,0.11852304929433777
m3fd,00497,0.1081050612754455,0.10561220226166779,0.10585078246854518,0.10695467131889602,0.11517964161073846
m3fd,00512,0.1821044336282669,0.17322507955198985,0.1741597985388229,0.16817918476878901,0.17599938013706062
m3fd,00525,0.14489531800319377,0.13880717116217434,0.1362658459191577,0.13373356493718702,0.14184993079211428
m3fd,00527,0.1309737523925466,0.13297115581653518,0.1395377326034818,0.14066135845839056,0.1470369454218866
m3fd,00537,0.12424293004825582,0.11825851982354929,0.11325489044019188,0.1097861545731037,0.11484194783943202
m3fd,00555,0.15813971221527268,0.1481756795628686,0.13912745651480907,0.13336335693224155,0.1374809675622921
m3fd,00572,0.13624363983578047,0.13175533732598343,0.12481155781119002,0.12144420431995706,0.12618829062938364
m3fd,00587,0.07734950990612999,0.07646289340529999,0.07167288009313344,0.07026982743981236,0.07445104843635353
m3fd,00606,0.07380028024662089,0.06815548272718797,0.06259245200867547,0.060549055828481024,0.06279841647396522
m3fd,00621,0.08179063529997077,0.07609384899584692,0.07318413407660118,0.07146128440533839,0.07599215127562975
m3fd,00633,0.09146686499485912,0.08627938241558653,0.08178789725193447,0.08287341210003174,0.08620390731801053
m3fd,00643,0.08277850109498253,0.08809625456101067,0.10002822655439458,0.10905825898572374,0.12028010548260648
m3fd,00652,0.09163212251129615,0.08988839073380173,0.09893229353145494,0.10642657091721641,0.11564053617624481
