dataset,sample_id,drift_289,drift_385,drift_517,drift_649,drift_769
m3fd,00000,0.26762957892154426,0.24960314975602815,0.2232925249337554,0.21075673752050128,0.2127325036388309
m3fd,00011,0.27183763971845154,0.2540155093982135,0.23648373778645093,0.2215183677078223,0.2279112704730164
m3fd,00025,0.18400139684993255,0.18415971602618597,0.18091220221773086,0.17709133632839902,0.18499952025397992
m3fd,00031,0.1847751549168617,0.18148596719106946,0.17956059984563622,0.1768781931853446,0.18289148261420407
m3fd,00033,0.2638525234225445,0.24553542048234456,0.22680851190110274,0.21555051857448315,0.21878505921278946
m3fd,00042,0.19966034015747625,0.1911391388135275,0.1882990796523457,0.1842028069938093,0.19214613525430446
m3fd,00061,0.15400830256121956,0.15059570150460766,0.14570345850128563,0.13875887844404056,0.14307993931187535
m3fd,00071,0.15114419568334825,0.1439868312918131,0.14100763687853457,0.136603630736987,0.14004582953864309
m3fd,00082,0.21224544255194933,0.19797150388901985,0.1877636411001603,0.18196558905795868,0.1876359257789887
m3fd,00097,0.17526289678929052,0.17140880014647197,0.16633359010343907,0.1627041589295487,0.16985349526910976
m3fd,00107,0.2307990336807315,0.22398648210773242,0.20534021361869192,0.18942683488835166,0.1965121771093301
m3fd,00112,0.2152569840649874,0.20329238134643046,0.18652500984334297,0.17664040155181093,0.1796414555411847
m3fd,00118,0.23066275101975542,0.21866868047125154,0.21364643211418177,0.20303290988443778,0.20825972117961622
m3fd,00147,0.20598695244758458,0.2009497887910645,0.1899805416238427,0.18045402373252206,0.18345845740671018
m3fd,00149,0.22258267703240964,0.21386420461719313,0.20119849687546587,0.19444587918188727,0.1977005442833195
m3fd,00150,0.23767073516831638,0.22388013698735365,0.20682589863840994,0.19434790558276327,0.19802615021810877
m3fd,00159,0.21239212866817936,0.1957610096298995,0.18701018081905385,0.1804479749117891,0.18501671964924804
m3fd,00177,0.2748840506936826,0.2585090525065016,0.24215129791233758,0.23387133636718438,0.23754355436349972
m3fd,00196,0.305567393768415,0.27753309548377225,0.2446255584392557,0.21968534173121557,0.22503992620314106
m3fd,00202,0.23142703842311307,0.21465109397826854,0.19969139980061623,0.18813504521731894,0.19319280771054437
m3fd,00210,0.20338037791529384,0.18222973731869851,0.16906956592069222,0.1609540561153483,0.16721595991605664
m3fd,00215,0.19622638315958163,0.17203633883945624,0.1626047058616349,0.15600678137610802,0.1589820248739955
m3fd,00232,0.18651508189483046,0.17492056944203405,0.16466246887294933,0.15523791312688584,0.1598436630823854
m3fd,00242,0.15242018394304724,0.14882983458885346,0.1453728305752544,0.14493946585208506,0.14686875465998073
m3fd,00255,0.10521569728962532,0.10138296070021557,0.09058347606328265,0.0879037896510807,0.09230901022352367
m3fd,00274,0.11927650360396924,0.11075196670494358,0.09914838969856543,0.09257454431259227,0.09854953506211839
m3fd,00284,0.11416000398736892,0.10558535919027379,0.09282136174061517,0.08732911234100471,0.09219274496498331
m3fd,00290,0.11772893535218554,0.10952756793632312,0.09628623763310495,0.0905601123948887,0.09445072422156275
m3fd,00306,0.11393909095039279,0.10806439752974162,0.09783139025777932,0.09157089650624073,0.09749996301893304
m3fd,00320,0.15983230213546562,0.1490226779416136,0.13578590275907154,0.12779118718539784,0.13420371785378693
m3fd,00325,0.07219824263138508,0.08304311816724597,0.10846070898082305,0.1211349801423206,0.1295332178970503
m3fd,00334,0.057696225901774145,0.06743182276599846,0.08557018639147684,0.09424904552311109,0.10398833546755248
m3fd,00339,0.08295261558243616,0.08672367319750762,0.10728675059940007,0.12090278429739831,0.133170640046265
m3fd,00349,0.0871373575696861,0.09742370635009945,0.11839727729757299,0.14227766945865838,0.16125483974539667
m3fd,00353,0.08780201037491009,0.09699186677366056,0.12001056373675434,0.14519694002167993,0.1639989759758218
m3fd,00370,0.09316945047489789,0.10217791763490991,0.12238932915886946,0.14472060525727581,0.16362248353056164
m3fd,00385,0.08509033883238926,0.09411956728905246,0.11378312927941803,0.13626320726069685,0.15412012499158434
m3fd,00386,0.09945320178468098,0.10128800425037421,0.10357521006109638,0.1038753085008367,0.10936833057148843
m3fd,00388,0.06851481861191844,0.07839973563435798,0.09606492033183345,0.11258137595925033,0.12690288280129536
m3fd,00389,0.07104768664209038,0.07670972323227798,0.08523260365738916,0.09604058334525012,0.10772637055037881
m3fd,00390,0.0737702993993733,0.07516643714472304,0.07951001469237207,0.08251996599036027,0.0889008985747417
m3fd,00400,0.17300256355454413,0.165945972757497,0.16181416408416205,0.15935266516764202,0.1639213535853138
m3fd,00405,0.14336559263631765,0.13750474226847675,0.13206548643868243,0.12855001921456544,0.13593893516229738
m3fd,00409,0.11701830753674825,0.11735131810571364,0.11632552538814511,0.11626824098073263,0.12199108059166841
m3fd,00419,0.14234736123628922,0.13948821902526032,0.13598750853305408,0.13291155403154675,0.14251492221917517
m3fd,00421,0.12208341171915771,0.12465209873060035,0.12360189598385762,0.126253686824378,0.13388057969943667
m3fd,00434,0.11699443541785126,0.11837970036278067,0.11966041500545388,0.12178502473662023,0.12816291243045785
m3fd,00441,0.11725046883732726,0.11590605583808633,0.11156387372838172,0.11036579434802007,0.11559845083090037
m3fd,00443,0.16735743566771422,0.16086753879232485,0.1520800044394035,0.14245154446154873,0.15296332121427514
m3fd,00449,0.07896074931678043,0.07999460704216055,0.07987393306813018,0.08342224551710253,0.09018554207480656
m3fd,00453,0.11691494846318418,0.11811536702017178,0.11934454242014281,0.12114855017621173,0.131000017711283
m3fd,00461,0.09606486922576696,0.10102697155905949,0.1052219529880527,0.11262416505007111,0.12437991097982792
m3fd,00479,0.14041939549892468,0.13921648701912293,0.13744692381549917,0.1373324682238467,0.1454991081821112
m3fd,00489,0.11566828459348666,0.11371659099646747,0.11376653928362712,0.11033573803166807,0.11643127786311336
m3fd,00497,0.10763885133014717,0.10533700171419225,0.10514957494952404,0.1059439978597767,0.11381472836609419
m3fd,00512,0.18166979677074846,0.17259314457975816,0.1731375670376175,0.1673410670862685,0.17501159851880255
m3fd,00525,0.14477794144485123,0.13872847211499562,0.135780751978694,0.1332738877866756,0.14121585124787928
m3fd,00527,0.13044763515223157,0.13163842468334774,0.13776388749132273,0.13879473694120292,0.14536897539496263
m3fd,00537,0.12431693765361918,0.11818392087073537,0.11266620421464468,0.10938845203860292,0.11432074124362701
m3fd,00555,0.1582544787008464,0.1480771445484702,0.13854602625137002,0.13284399629471044,0.1369797291025694
m3fd,00572,0.1360888771425569,0.13143789747126022,0.12423623906771009,0.12079358895490966,0.1253831472635436
m3fd,00587,0.07742190224160483,0.0765896634474722,0.07206747404697245,0.07071671345426955,0.0746928661554449
m3fd,00606,0.07368975521245125,0.06813680916552811,0.0627683510415743,0.06097062022327737,0.06324749100525251
m3fd,00621,0.08169350073433412,0.07618815149278224,0.07351801838557837,0.07167750322330191,0.07615167521626376
m3fd,00633,0.09153361569798213,0.08612092560594953,0.0813229977660519,0.08225148533894544,0.0856831714994476
m3fd,00643,0.08293654351888691,0.08871929943496348,0.1012051987678122,0.11014190503346188,0.12100117869217397
m3fd,00652,0.0919870886612989,0.09106789556224548,0.10051442919033082,0.10798477969161635,0.11689759080866469
m3fd,00653,0.09540163791308387,0.09196716234010838,0.09276601131544682,0.09556501157645869,0.10090904737937834
m3fd,00661,0.10270352065103283,0.09986980459921746,0.10152120526381414,0.1014687168186792,0.10442289995650933
m3fd,00671,0.12192495125910119,0.11551948192280759,0.11490706171705278,0.11271130415056219,0.11777423545835719
m3fd,00676,0.10482139807343172,0.10062790194977711,0.10474473693026642,0.10597445416552109,0.10983810641796077
m3fd,00677,0.10772501644174293,0.10481288263798039,0.10658501125251563,0.11099116868853165,0.11906930204262034
m3fd,00687,0.10904545552592315,0.10772888562731786,0.10815980513197299,0.10928916667499022,0.11463164910459112
m3fd,00697,0.09729991470387367,0.09665952927557964,0.0983942218673921,0.10101081714468618,0.10763632218593044
m3fd,00712,0.12927988378364352,0.133336872146828,0.14411245254255545,0.152121702023302,0.16160819843417962
m3fd,00716,0.0620491732371522,0.08239954298889052,0.10915161165680665,0.12610914383879324,0.1418628328958048
m3fd,00719,0.25811278068215127,0.24850478480621507,0.25677678230756507,0.2726949242841228,0.29688243272821124
m3fd,00725,0.24514764787435983,0.23590288881738597,0.24536124704280549,0.26200259561408135,0.28452485021512264
m3fd,00726,0.25367310387228403,0.24619773548121215,0.25288136640912373,0.26607031345246546,0.28734000266090665
m3fd,00738,0.25032530401051223,0.2348683811369472,0.23161148277859445,0.23217270307028826,0.24247879617018864
m3fd,00760,0.28934326194418003,0.26775838358471993,0.24694899304223028,0.2328746803020677,0.2386970257442137
m3fd,00762,0.30367174222167126,0.2838275473203269,0.255721761694957,0.2388169769285391,0.2398808146953223
m3fd,00769,0.3031824280503286,0.28432432587688083,0.25836686199071646,0.2397213625791752,0.24114586109456915
m3fd,00787,0.11846630130267999,0.11257376406282027,0.11025370967930248,0.1220492717875149,0.14617558377865325
m3fd,00800,0.12860633186987103,0.12929444295186043,0.13337882331454987,0.15206572819080233,0.1806504376575443
m3fd,00801,0.3116826213427998,0.29387398255467345,0.27469399985180665,0.2564191455413837,0.26044907231893233
m3fd,00805,0.31716726333667444,0.30073199423274166,0.2834630041800874,0.26553833007798744,0.27034267163854997
m3fd,00818,0.31919277364294896,0.30097124905488537,0.2820008698634029,0.2639656597931489,0.26936893506726667
m3fd,00825,0.13720064079865868,0.13778207826299882,0.13734368647072537,0.13559840539825851,0.14660966678669962
m3fd,00826,0.14708869626393162,0.14968043116553498,0.15996695742499178,0.16226687233727954,0.17372304411452977
m3fd,00829,0.14376417063286273,0.14712403752067005,0.1536598076023603,0.15617963001010549,0.16898993710424903
m3fd,00834,0.12907525623057492,0.13757727907519313,0.14794669473934374,0.1473081594934491,0.16324844822695728
m3fd,00857,0.12710198268398387,0.13496310495178232,0.1536016036097141,0.14974662098215674,0.16245082826882273
m3fd,00867,0.3671938700884312,0.3498490844904799,0.3349126075639688,0.3253427033551344,0.33193195850869606
m3fd,00871,0.3716223611406373,0.3554396782740791,0.3397913616234175,0.32795495489489845,0.3344739259775519
m3fd,00878,0.35472436115708816,0.34130086161394,0.3295951400314806,0.3188917352075381,0.3255180548480785
m3fd,00896,0.16751077654666702,0.16833773341124614,0.169697549925096,0.17280344767100786,0.18667080400988378
m3fd,00910,0.16739679338475244,0.16629133909916782,0.16672416004015367,0.16954369792615176,0.18366809664780337
m3fd,00916,0.15880046094857336,0.15716963036550358,0.1606736346144909,0.16502814062244409,0.1802496034513098
m3fd,00922,0.160030225108579,0.15984262315551678,0.16564464208544238,0.17158036455107883,0.18565211082142308
m3fd,00926,0.17589588492027552,0.1740449945194903,0.1774235227419818,0.18286192664542,0.1948271146539231
m3fd,00950,0.09757300250661316,0.11085599564921356,0.12820265797764674,0.1419042847735006,0.15499539854024968
m3fd,00958,0.143035179422905,0.1461410980310489,0.1553538413157607,0.16239060068067546,0.17253316350896652
m3fd,00965,0.149041935240681,0.15345732329311323,0.16268372302697565,0.16971333613138018,0.17848680335758182
m3fd,00976,0.16778963296160398,0.16013410888816926,0.18044727907442804,0.1660276205027219,0.1641853152207824
m3fd,00994,0.16501313342026103,0.1618523118598345,0.1801690579746401,0.17897589252246937,0.17468576151019444
m3fd,01017,0.1491012485636668,0.15326369584045818,0.14527152517526742,0.14045245373960247,0.1447235255643059
m3fd,01034,0.14431257822212384,0.1415408412221737,0.134284858071947,0.12616877239918256,0.131480199712381
m3fd,01043,0.16924942857750847,0.15461968905494528,0.14408309178453593,0.13457163662663985,0.13925669735783197
m3fd,01079,0.14538939147674557,0.14165401534781064,0.13899904309405564,0.13072688444008596,0.13861244928436944
m3fd,01093,0.2134879902900536,0.2029503122523656,0.18389912623861682,0.17110291959523882,0.1775272295639052
m3fd,01101,0.19995026751302203,0.18955125557265173,0.17330699727865473,0.15938662437397688,0.1641875141171426
