sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
00000,0.17233,0.01196,0.962199,0.047782,0.332031,0.003358,0.365966
00011,0.186343,0.014387,0.954319,0.048492,0.338135,0.003529,0.384722
00025,0.076376,0.01075,0.966063,0.040908,0.247803,0.002082,0.432723
00031,0.104693,0.01136,0.964224,0.042503,0.263916,0.002349,0.447761
00033,0.189527,0.017457,0.944884,0.046706,0.332031,0.003549,0.374347
00042,0.073796,0.007778,0.9753,0.046926,0.312988,0.002319,0.442705
00061,0.105623,0.015023,0.952081,0.038548,0.250244,0.002066,0.388128
00071,0.085527,0.012845,0.959885,0.038459,0.242065,0.002102,0.433838
00082,0.108704,0.013968,0.955518,0.043557,0.240891,0.00268,0.478297
00097,0.038388,0.005568,0.982452,0.040462,0.247803,0.001895,0.531913
00107,0.145136,0.016277,0.947918,0.047995,0.268066,0.002739,0.441762
00112,0.05279,0.006281,0.97997,0.048637,0.32959,0.003591,0.468313
00118,0.076413,0.010513,0.966529,0.047545,0.344482,0.003446,0.426589
00147,0.097333,0.012994,0.95864,0.046384,0.309326,0.002539,0.416684
00149,0.17241,0.010414,0.966963,0.044719,0.283203,0.002571,0.385176
00150,0.132374,0.009321,0.970445,0.046705,0.293945,0.002388,0.398713
00159,0.117488,0.009762,0.969209,0.041066,0.248047,0.002069,0.375377
00177,0.075052,0.007339,0.976713,0.045667,0.256592,0.002221,0.346102
00196,0.023717,0.002969,0.990625,0.061471,0.339355,0.002581,0.390327
00202,0.051417,0.005266,0.983289,0.048913,0.290527,0.002159,0.438313
00210,0.142464,0.011298,0.964054,0.037822,0.241699,0.001966,0.378861
00215,0.128594,0.005916,0.981249,0.04263,0.267822,0.002286,0.421514
00232,0.112499,0.009783,0.968861,0.040223,0.218872,0.002143,0.449247
00242,0.187938,0.01649,0.94791,0.037058,0.225952,0.002313,0.490982
00255,0.020159,0.004324,0.987284,0.036921,0.186814,0.001364,0.62447
00274,0.025336,0.003399,0.990018,0.035624,0.186523,0.001546,0.578116
00284,0.025019,0.003459,0.989843,0.032786,0.170898,0.00154,0.500752
00290,0.030725,0.004277,0.987389,0.037704,0.189819,0.001521,0.63997
00306,0.026999,0.003446,0.989506,0.036016,0.178955,0.001546,0.614403
00320,0.023702,0.003134,0.990682,0.036691,0.196411,0.00131,0.456987
00325,0.728996,0.035446,0.887105,0.026343,0.058899,0.001945,0.577567
00334,0.83759,0.032611,0.898206,0.028799,0.066101,0.002129,0.638687
00339,0.552739,0.036496,0.884932,0.02554,0.078613,0.002111,0.420767
00349,0.018361,0.002368,0.992449,0.036308,0.193481,0.001968,0.522254
00353,0.017899,0.002172,0.993142,0.036689,0.196655,0.001911,0.537382
00370,0.020201,0.002457,0.992315,0.037837,0.202637,0.00192,0.544335
00385,0.021056,0.00219,0.99314,0.036071,0.169434,0.001911,0.534971
00386,0.269448,0.029701,0.906517,0.036978,0.247032,0.003516,0.581071
00388,0.137796,0.009195,0.971382,0.030885,0.16964,0.002902,0.408483
00389,0.227553,0.01772,0.94302,0.033101,0.208862,0.002383,0.560428
00390,0.382137,0.027288,0.913535,0.033782,0.210449,0.002265,0.625668
00400,0.233873,0.026236,0.91732,0.035972,0.229858,0.00296,0.378593
00405,0.217818,0.022868,0.927965,0.037701,0.295654,0.003607,0.47597
00409,0.251499,0.01723,0.94526,0.033587,0.202759,0.002003,0.387881
00419,0.482507,0.045842,0.853934,0.02895,0.145386,0.002143,0.390714
00421,0.128109,0.00926,0.970598,0.034575,0.175743,0.001944,0.373904
00434,0.195997,0.013466,0.957476,0.033278,0.164307,0.001879,0.387723
00441,0.515852,0.048685,0.841534,0.029273,0.14563,0.002186,0.469238
00443,0.640273,0.036856,0.884789,0.026466,0.09967,0.002066,0.415257
00449,0.471074,0.044111,0.860307,0.028806,0.105042,0.00215,0.539218
00453,0.234051,0.017744,0.943471,0.031419,0.130417,0.002024,0.477659
00461,0.215391,0.018697,0.940673,0.031245,0.147339,0.002035,0.466798
