bin_left,bin_right,count_all,count_acts,count_acts_top,count_prior_top,frac_all,frac_acts
0.0000,0.0100,158646880,397162,17922936,49108450,0.70711700,0.58945528
0.0100,0.0200,2672911,2937,77999,1036185,0.01191363,0.00435900
0.0200,0.0300,1575207,1808,44456,609274,0.00702097,0.00268338
0.0300,0.0400,1116206,1183,30698,430599,0.00497513,0.00175577
0.0400,0.0500,874103,892,23629,336139,0.00389603,0.00132388
0.0500,0.0600,714179,781,19009,275477,0.00318322,0.00115914
0.0600,0.0700,604752,640,15933,233485,0.00269549,0.00094987
0.0700,0.0800,529720,544,13928,204970,0.00236106,0.00080739
0.0800,0.0900,468412,487,12227,181514,0.00208779,0.00072279
0.0900,0.1000,423518,417,10833,164931,0.00188769,0.00061890
0.1000,0.1100,381002,420,9987,148246,0.00169819,0.00062335
0.1100,0.1200,357551,383,9243,139885,0.00159367,0.00056844
0.1200,0.1300,319887,340,8219,124596,0.00142579,0.00050462
0.1300,0.1400,303676,329,7719,118693,0.00135354,0.00048829
0.1400,0.1500,285002,290,7365,111613,0.00127030,0.00043041
0.1500,0.1600,267901,275,6846,105061,0.00119408,0.00040815
0.1600,0.1700,258967,273,6674,101585,0.00115426,0.00040518
0.1700,0.1800,240157,249,6270,94192,0.00107042,0.00036956
0.1800,0.1900,231724,237,6015,91150,0.00103283,0.00035175
0.1900,0.2000,224044,249,5706,87920,0.00099860,0.00036956
0.2000,0.2100,211028,249,5313,82765,0.00094059,0.00036956
0.2100,0.2200,208677,215,5345,82109,0.00093011,0.00031910
0.2200,0.2300,196641,215,5044,77200,0.00087646,0.00031910
0.2300,0.2400,189791,201,4796,74482,0.00084593,0.00029832
0.2400,0.2500,187411,187,4699,73361,0.00083532,0.00027754
0.2500,0.2600,182142,197,4560,71503,0.00081184,0.00029238
0.2600,0.2700,173794,186,4373,68531,0.00077463,0.00027606
0.2700,0.2800,174172,199,4365,68390,0.00077632,0.00029535
0.2800,0.2900,167610,167,4281,65705,0.00074707,0.00024786
0.2900,0.3000,166011,175,4084,65045,0.00073994,0.00025973
0.3000,0.3100,159500,165,3948,62589,0.00071092,0.00024489
0.3100,0.3200,155371,161,3814,61112,0.00069252,0.00023895
0.3200,0.3300,157578,143,3825,62208,0.00070235,0.00021224
0.3300,0.3400,152482,158,3768,59818,0.00067964,0.00023450
0.3400,0.3500,148364,151,3667,58019,0.00066128,0.00022411
0.3500,0.3600,150941,155,3725,59057,0.00067277,0.00023005
0.3600,0.3700,145733,166,3570,56906,0.00064956,0.00024637
0.3700,0.3800,145250,167,3545,56656,0.00064740,0.00024786
0.3800,0.3900,145388,151,3488,57114,0.00064802,0.00022411
0.3900,0.4000,139409,144,3441,54649,0.00062137,0.00021372
0.4000,0.4100,140202,158,3415,54850,0.00062490,0.00023450
0.4100,0.4200,138178,150,3334,54269,0.00061588,0.00022263
0.4200,0.4300,137955,146,3459,54242,0.00061489,0.00021669
0.4300,0.4400,137872,136,3438,53812,0.00061452,0.00020185
0.4400,0.4500,135911,141,3288,53600,0.00060578,0.00020927
0.4500,0.4600,137508,175,3325,53804,0.00061290,0.00025973
0.4600,0.4700,133123,138,3231,52161,0.00059335,0.00020482
0.4700,0.4800,135041,161,3196,52866,0.00060190,0.00023895
0.4800,0.4900,130872,149,3137,51468,0.00058332,0.00022114
0.4900,0.5000,130476,133,3120,51182,0.00058155,0.00019739
0.5000,0.5100,138295,135,3342,54101,0.00061641,0.00020036
0.5100,0.5200,130428,141,3108,51077,0.00058134,0.00020927
0.5200,0.5300,136674,161,3247,53594,0.00060918,0.00023895
0.5300,0.5400,129207,131,3006,50757,0.00057590,0.00019443
0.5400,0.5500,136287,151,3278,53208,0.00060746,0.00022411
0.5500,0.5600,134196,159,3214,52769,0.00059814,0.00023598
0.5600,0.5700,135856,148,3175,53367,0.00060553,0.00021966
0.5700,0.5800,130044,142,3011,51094,0.00057963,0.00021075
0.5800,0.5900,141788,132,3332,55544,0.00063197,0.00019591
0.5900,0.6000,133781,144,3224,52224,0.00059629,0.00021372
0.6000,0.6100,141584,165,3374,55524,0.00063106,0.00024489
0.6100,0.6200,134862,138,3112,52871,0.00060110,0.00020482
0.6200,0.6300,142448,163,3400,55738,0.00063492,0.00024192
0.6300,0.6400,139182,151,3372,54710,0.00062036,0.00022411
0.6400,0.6500,146696,166,3480,57311,0.00065385,0.00024637
0.6500,0.6600,140158,168,3312,55025,0.00062471,0.00024934
0.6600,0.6700,148327,169,3563,58275,0.00066112,0.00025082
0.6700,0.6800,145887,157,3478,57208,0.00065024,0.00023301
0.6800,0.6900,156798,201,3752,61445,0.00069888,0.00029832
0.6900,0.7000,146625,176,3498,57668,0.00065353,0.00026121
0.7000,0.7100,157047,179,3813,61833,0.00069999,0.00026567
0.7100,0.7200,155268,196,3641,61331,0.00069206,0.00029090
0.7200,0.7300,165102,174,3831,64848,0.00073589,0.00025825
0.7300,0.7400,162333,204,3824,63768,0.00072355,0.00030277
0.7400,0.7500,163366,191,3837,64411,0.00072815,0.00028348
0.7500,0.7600,180112,206,4212,71022,0.00080279,0.00030574
0.7600,0.7700,174223,201,4057,68491,0.00077654,0.00029832
0.7700,0.7800,186229,218,4408,73444,0.00083006,0.00032355
0.7800,0.7900,180593,204,4225,71349,0.00080493,0.00030277
0.7900,0.8000,197628,209,4504,77552,0.00088086,0.00031019
0.8000,0.8100,196691,220,4602,77331,0.00087669,0.00032652
0.8100,0.8200,215839,227,5110,85282,0.00096203,0.00033691
0.8200,0.8300,213161,250,4978,84343,0.00095010,0.00037104
0.8300,0.8400,231942,272,5225,91535,0.00103381,0.00040369
0.8400,0.8500,231740,236,5332,91014,0.00103291,0.00035026
0.8500,0.8600,255423,337,5940,100310,0.00113847,0.00050016
0.8600,0.8700,259286,308,5872,101935,0.00115568,0.00045712
0.8700,0.8800,287310,360,6616,113194,0.00128059,0.00053430
0.8800,0.8900,288796,360,6650,114421,0.00128721,0.00053430
0.8900,0.9000,333386,357,7660,132020,0.00148596,0.00052985
0.9000,0.9100,352908,406,7949,138957,0.00157297,0.00060257
0.9100,0.9200,389970,459,8801,154209,0.00173816,0.00068123
0.9200,0.9300,420646,520,9612,166888,0.00187489,0.00077177
0.9300,0.9400,505556,617,11667,200442,0.00225335,0.00091573
0.9400,0.9500,550718,616,12798,218701,0.00245465,0.00091425
0.9500,0.9600,686284,805,15714,272173,0.00305889,0.00119476
0.9600,0.9700,834193,1058,19416,331287,0.00371814,0.00157025
0.9700,0.9800,1196029,1549,27846,476374,0.00533091,0.00229898
0.9800,0.9900,1881334,2395,43396,750136,0.00838544,0.00355458
0.9900,1.0000,35304862,242411,3794922,15290037,0.15735997,0.35977874
