sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
00687,0.599189,0.044061,0.860481,0.018281,0.109497,0.002696,0.386263
00697,0.558885,0.053288,0.830594,0.015231,0.10144,0.00274,0.342702
00712,0.058457,0.011468,0.963735,0.022175,0.104309,0.00214,0.521766
00716,0.063125,0.017074,0.94556,0.022023,0.090759,0.002018,0.620669
00719,0.085194,0.01002,0.968165,0.072035,0.375,0.003684,0.260146
00725,0.106416,0.010715,0.965898,0.069776,0.367188,0.003568,0.262756
00726,0.110347,0.010106,0.968016,0.071238,0.375488,0.003836,0.265802
00738,0.118927,0.013387,0.957442,0.048835,0.316406,0.002787,0.368636
00760,0.091512,0.013784,0.955971,0.042722,0.300781,0.003185,0.293774
00762,0.079218,0.011783,0.962482,0.046258,0.311768,0.003502,0.319802
00769,0.081628,0.011362,0.963957,0.04366,0.310059,0.003557,0.325233
00787,0.224608,0.018574,0.941146,0.03349,0.116333,0.002536,0.563748
00800,0.19397,0.017119,0.945633,0.037584,0.151001,0.002692,0.536419
00801,0.006342,0.001577,0.995305,0.03579,0.161865,0.001753,0.563816
00805,0.006128,0.001878,0.994445,0.028505,0.125244,0.001732,0.476923
00818,0.005824,0.001457,0.995834,0.029365,0.127686,0.001741,0.489595
00825,0.406271,0.025481,0.92063,0.019156,0.145142,0.002183,0.314307
00826,0.464718,0.032479,0.897069,0.019417,0.160278,0.002597,0.343124
00829,0.461016,0.038471,0.877346,0.018925,0.154541,0.002594,0.338423
00834,0.441707,0.035181,0.887283,0.019145,0.161377,0.002672,0.313506
00857,0.473585,0.031115,0.900686,0.01781,0.136353,0.002499,0.298333
00867,0.026847,0.00385,0.988012,0.039134,0.19043,0.001975,0.485109
00871,0.030144,0.004106,0.987176,0.039134,0.188965,0.001979,0.474357
00878,0.032296,0.004176,0.986964,0.03831,0.186279,0.001962,0.462068
00896,0.037854,0.005853,0.981673,0.028742,0.194336,0.002646,0.509667
00910,0.03977,0.006232,0.980473,0.02918,0.194702,0.002604,0.506963
00916,0.037696,0.006269,0.980453,0.029114,0.209106,0.002669,0.510252
00922,0.036739,0.007122,0.977751,0.027591,0.182983,0.00271,0.509598
00926,0.039897,0.007628,0.975684,0.029024,0.156372,0.002528,0.524251
00950,0.067634,0.013696,0.956787,0.023041,0.095703,0.00178,0.570286
00958,0.091415,0.014765,0.953194,0.023792,0.115967,0.001778,0.512599
00965,0.086384,0.014408,0.954248,0.025419,0.125244,0.001825,0.545809
00976,0.231383,0.037588,0.880174,0.021551,0.176392,0.002426,0.327363
00994,0.236091,0.038066,0.877546,0.020719,0.174072,0.0026,0.277479
01017,0.31267,0.044977,0.857071,0.021713,0.166138,0.002888,0.410838
01034,0.133616,0.028298,0.909855,0.020531,0.133423,0.002127,0.325353
01043,0.11691,0.023585,0.925625,0.021641,0.152832,0.002347,0.308456
01079,0.377683,0.042118,0.864892,0.0253,0.256836,0.004237,0.413285
01093,0.3603,0.050778,0.83852,0.026316,0.265137,0.004026,0.421128
01101,0.356604,0.051238,0.836952,0.02345,0.214722,0.003131,0.375854
01115,0.374799,0.02412,0.922878,0.016471,0.127686,0.002881,0.185592
01122,0.41944,0.024324,0.924049,0.017028,0.13269,0.003056,0.230639
01136,0.425693,0.028125,0.909053,0.01832,0.141648,0.003151,0.307762
01147,0.41174,0.021224,0.932084,0.017803,0.125732,0.003127,0.307909
01156,0.407201,0.023891,0.923378,0.015973,0.092308,0.0028,0.248675
01165,0.380393,0.018309,0.940662,0.016097,0.111816,0.002965,0.132329
01186,0.17953,0.02246,0.92902,0.028342,0.228516,0.0028,0.313887
01204,0.12352,0.018902,0.940019,0.027193,0.215698,0.003061,0.319616
01212,0.128442,0.019957,0.936078,0.027913,0.19873,0.00228,0.363356
01223,0.175761,0.020075,0.936227,0.029298,0.239014,0.002825,0.333843
01227,0.114999,0.025778,0.919473,0.019595,0.11554,0.001826,0.368095
