bin_left,bin_right,count_all,count_acts,count_acts_top,count_prior_top,frac_all,frac_acts
0.0000,0.0100,170212762,513546,19660624,53851421,0.75866816,0.71462306
0.0100,0.0200,1708898,2303,62739,661768,0.00761686,0.00320473
0.0200,0.0300,1001740,1372,35690,388634,0.00446493,0.00190920
0.0300,0.0400,710629,918,24925,275298,0.00316740,0.00127744
0.0400,0.0500,558174,676,19114,215826,0.00248788,0.00094069
0.0500,0.0600,455180,546,15453,176382,0.00202882,0.00075978
0.0600,0.0700,386776,451,13251,149964,0.00172393,0.00062759
0.0700,0.0800,340382,391,11356,131734,0.00151714,0.00054409
0.0800,0.0900,303011,355,10269,118095,0.00135057,0.00049400
0.0900,0.1000,274621,350,9054,106258,0.00122403,0.00048704
0.1000,0.1100,245897,324,8290,95833,0.00109601,0.00045086
0.1100,0.1200,230983,289,7698,89917,0.00102953,0.00040216
0.1200,0.1300,208136,259,6814,80879,0.00092770,0.00036041
0.1300,0.1400,199658,257,6562,77562,0.00088991,0.00035763
0.1400,0.1500,186929,254,6132,72789,0.00083318,0.00035345
0.1500,0.1600,175608,221,5638,68201,0.00078272,0.00030753
0.1600,0.1700,170739,209,5592,66946,0.00076101,0.00029083
0.1700,0.1800,159060,184,5083,61990,0.00070896,0.00025604
0.1800,0.1900,153127,189,4887,59792,0.00068251,0.00026300
0.1900,0.2000,147501,162,4566,57600,0.00065744,0.00022543
0.2000,0.2100,139979,171,4374,54408,0.00062391,0.00023795
0.2100,0.2200,138121,166,4300,53761,0.00061563,0.00023100
0.2200,0.2300,130014,178,4088,50629,0.00057950,0.00024770
0.2300,0.2400,125305,154,3859,48553,0.00055851,0.00021430
0.2400,0.2500,125310,145,3888,48900,0.00055853,0.00020177
0.2500,0.2600,121119,173,3725,47298,0.00053985,0.00024074
0.2600,0.2700,116239,151,3495,45005,0.00051810,0.00021012
0.2700,0.2800,116404,146,3644,45117,0.00051883,0.00020317
0.2800,0.2900,111916,120,3464,43652,0.00049883,0.00016699
0.2900,0.3000,111850,122,3510,43736,0.00049854,0.00016977
0.3000,0.3100,106684,132,3274,41330,0.00047551,0.00018368
0.3100,0.3200,102887,124,3098,40040,0.00045859,0.00017255
0.3200,0.3300,106983,145,3296,41451,0.00047684,0.00020177
0.3300,0.3400,102718,119,3076,40265,0.00045783,0.00016559
0.3400,0.3500,98364,138,2959,38059,0.00043843,0.00019203
0.3500,0.3600,102898,135,3096,40308,0.00045863,0.00018786
0.3600,0.3700,98345,133,3102,38442,0.00043834,0.00018508
0.3700,0.3800,97999,126,3044,37912,0.00043680,0.00017533
0.3800,0.3900,97527,133,2906,37865,0.00043469,0.00018508
0.3900,0.4000,93380,122,2847,36410,0.00041621,0.00016977
0.4000,0.4100,93238,115,2779,36136,0.00041558,0.00016003
0.4100,0.4200,93401,111,2739,36474,0.00041630,0.00015446
0.4200,0.4300,92890,123,2767,35909,0.00041403,0.00017116
0.4300,0.4400,94610,119,2813,37065,0.00042169,0.00016559
0.4400,0.4500,93115,116,2740,36222,0.00041503,0.00016142
0.4500,0.4600,92812,131,2754,35909,0.00041368,0.00018229
0.4600,0.4700,88046,111,2559,34110,0.00039244,0.00015446
0.4700,0.4800,93787,114,2800,36384,0.00041803,0.00015864
0.4800,0.4900,88994,120,2554,34404,0.00039666,0.00016699
0.4900,0.5000,88373,120,2598,34279,0.00039389,0.00016699
0.5000,0.5100,92964,124,2646,35877,0.00041436,0.00017255
0.5100,0.5200,87765,104,2601,34173,0.00039118,0.00014472
0.5200,0.5300,92396,118,2675,35772,0.00041183,0.00016420
0.5300,0.5400,88653,97,2557,34535,0.00039514,0.00013498
0.5400,0.5500,92711,102,2699,36175,0.00041323,0.00014194
0.5500,0.5600,92675,122,2689,36019,0.00041307,0.00016977
0.5600,0.5700,92097,135,2725,35792,0.00041049,0.00018786
0.5700,0.5800,87984,131,2506,34432,0.00039216,0.00018229
0.5800,0.5900,96745,121,2715,37683,0.00043121,0.00016838
0.5900,0.6000,91903,113,2614,35759,0.00040963,0.00015724
0.6000,0.6100,96154,107,2773,37488,0.00042858,0.00014890
0.6100,0.6200,91669,109,2526,35576,0.00040858,0.00015168
0.6200,0.6300,95351,136,2723,37218,0.00042500,0.00018925
0.6300,0.6400,95788,137,2683,37188,0.00042694,0.00019064
0.6400,0.6500,100569,113,2855,39135,0.00044825,0.00015724
0.6500,0.6600,95627,123,2711,37063,0.00042623,0.00017116
0.6600,0.6700,100157,119,2781,39172,0.00044642,0.00016559
0.6700,0.6800,99751,143,2801,38766,0.00044461,0.00019899
0.6800,0.6900,108804,154,3015,42491,0.00048496,0.00021430
0.6900,0.7000,100344,139,2751,38925,0.00044725,0.00019342
0.7000,0.7100,108362,136,3036,42209,0.00048299,0.00018925
0.7100,0.7200,107303,144,3093,41608,0.00047827,0.00020038
0.7200,0.7300,112867,168,3228,44048,0.00050307,0.00023378
0.7300,0.7400,111598,114,2961,43182,0.00049741,0.00015864
0.7400,0.7500,112216,144,3209,43938,0.00050017,0.00020038
0.7500,0.7600,124375,177,3465,48730,0.00055436,0.00024630
0.7600,0.7700,120077,151,3345,46840,0.00053520,0.00021012
0.7700,0.7800,128139,161,3516,49979,0.00057114,0.00022404
0.7800,0.7900,124961,161,3367,48669,0.00055697,0.00022404
0.7900,0.8000,136888,181,3730,53731,0.00061013,0.00025187
0.8000,0.8100,136663,163,3837,53529,0.00060913,0.00022682
0.8100,0.8200,148766,196,4021,58185,0.00066308,0.00027274
0.8200,0.8300,147399,192,4000,58032,0.00065698,0.00026718
0.8300,0.8400,161028,216,4361,62845,0.00071773,0.00030057
0.8400,0.8500,160355,233,4329,63106,0.00071473,0.00032423
0.8500,0.8600,177964,256,4841,70046,0.00079322,0.00035624
0.8600,0.8700,177591,218,4788,69824,0.00079155,0.00030336
0.8700,0.8800,200374,258,5287,78808,0.00089310,0.00035902
0.8800,0.8900,206298,283,5497,81535,0.00091951,0.00039381
0.8900,0.9000,232454,345,6224,91642,0.00103609,0.00048008
0.9000,0.9100,246407,345,6650,97152,0.00109828,0.00048008
0.9100,0.9200,273647,415,7264,107930,0.00121969,0.00057749
0.9200,0.9300,296084,423,7703,116733,0.00131970,0.00058862
0.9300,0.9400,359038,563,9444,142121,0.00160030,0.00078344
0.9400,0.9500,394228,576,10151,154543,0.00175714,0.00080153
0.9500,0.9600,495841,717,12733,194941,0.00221005,0.00099774
0.9600,0.9700,604203,935,15226,238195,0.00269304,0.00130110
0.9700,0.9800,877514,1291,21844,345871,0.00391123,0.00179649
0.9800,0.9900,1397192,2118,34527,551701,0.00622753,0.00294730
0.9900,1.0000,33584270,177629,2198120,14439752,0.14969099,0.24717899
