bin_left,bin_right,count_M
0.0000,0.0100,25501529
0.0100,0.0200,98593430
0.0200,0.0300,32171187
0.0300,0.0400,16759940
0.0400,0.0500,10965940
0.0500,0.0600,7709520
0.0600,0.0700,5634467
0.0700,0.0800,4326816
0.0800,0.0900,3383191
0.0900,0.1000,2716316
0.1000,0.1100,2175490
0.1100,0.1200,1852615
0.1200,0.1300,1505181
0.1300,0.1400,1300313
0.1400,0.1500,1093762
0.1500,0.1600,941331
0.1600,0.1700,830854
0.1700,0.1800,700292
0.1800,0.1900,620388
0.1900,0.2000,552042
0.2000,0.2100,473894
0.2100,0.2200,433144
0.2200,0.2300,367702
0.2300,0.2400,330882
0.2400,0.2500,302216
0.2500,0.2600,269196
0.2600,0.2700,238648
0.2700,0.2800,215045
0.2800,0.2900,197232
0.2900,0.3000,173625
0.3000,0.3100,155097
0.3100,0.3200,142448
0.3200,0.3300,127388
0.3300,0.3400,114059
0.3400,0.3500,102116
0.3500,0.3600,94163
0.3600,0.3700,84181
0.3700,0.3800,77276
0.3800,0.3900,69823
0.3900,0.4000,63840
0.4000,0.4100,57228
0.4100,0.4200,53891
0.4200,0.4300,48528
0.4300,0.4400,43234
0.4400,0.4500,40505
0.4500,0.4600,37221
0.4600,0.4700,33635
0.4700,0.4800,30831
0.4800,0.4900,28582
0.4900,0.5000,25623
0.5000,0.5100,24916
0.5100,0.5200,20998
0.5200,0.5300,20345
0.5300,0.5400,17495
0.5400,0.5500,16777
0.5500,0.5600,14445
0.5600,0.5700,13674
0.5700,0.5800,12105
0.5800,0.5900,11907
0.5900,0.6000,10699
0.6000,0.6100,10088
0.6100,0.6200,8710
0.6200,0.6300,8639
0.6300,0.6400,7511
0.6400,0.6500,7303
0.6500,0.6600,6355
0.6600,0.6700,6076
0.6700,0.6800,5297
0.6800,0.6900,4913
0.6900,0.7000,4337
0.7000,0.7100,4009
0.7100,0.7200,3660
0.7200,0.7300,3643
0.7300,0.7400,3286
0.7400,0.7500,3106
0.7500,0.7600,3117
0.7600,0.7700,2735
0.7700,0.7800,2695
0.7800,0.7900,2447
0.7900,0.8000,2512
0.8000,0.8100,2446
0.8100,0.8200,2486
0.8200,0.8300,2466
0.8300,0.8400,2538
0.8400,0.8500,2376
0.8500,0.8600,2626
0.8600,0.8700,2538
0.8700,0.8800,2729
0.8800,0.8900,2712
0.8900,0.9000,2962
0.9000,0.9100,2549
0.9100,0.9200,1817
0.9200,0.9300,1520
0.9300,0.9400,1600
0.9400,0.9500,1818
0.9500,0.9600,2890
0.9600,0.9700,6602
0.9700,0.9800,19077
0.9800,0.9900,52496
0.9900,1.0000,211423
