bin_left,bin_right,count_M
0.0000,0.0100,3431522
0.0100,0.0200,63873385
0.0200,0.0300,62927953
0.0300,0.0400,32940079
0.0400,0.0500,16539335
0.0500,0.0600,9944012
0.0600,0.0700,6623780
0.0700,0.0800,4750990
0.0800,0.0900,3553649
0.0900,0.1000,2747579
0.1000,0.1100,2144304
0.1100,0.1200,1776997
0.1200,0.1300,1420918
0.1300,0.1400,1222811
0.1400,0.1500,1036307
0.1500,0.1600,906610
0.1600,0.1700,796742
0.1700,0.1800,699405
0.1800,0.1900,622321
0.1900,0.2000,554116
0.2000,0.2100,501554
0.2100,0.2200,450934
0.2200,0.2300,399336
0.2300,0.2400,365850
0.2400,0.2500,330458
0.2500,0.2600,301746
0.2600,0.2700,271101
0.2700,0.2800,251374
0.2800,0.2900,224994
0.2900,0.3000,208396
0.3000,0.3100,185898
0.3100,0.3200,169245
0.3200,0.3300,156608
0.3300,0.3400,141106
0.3400,0.3500,128061
0.3500,0.3600,118872
0.3600,0.3700,107545
0.3700,0.3800,100339
0.3800,0.3900,91935
0.3900,0.4000,83334
0.4000,0.4100,76397
0.4100,0.4200,69737
0.4200,0.4300,65229
0.4300,0.4400,59789
0.4400,0.4500,54281
0.4500,0.4600,49579
0.4600,0.4700,45676
0.4700,0.4800,41782
0.4800,0.4900,38355
0.4900,0.5000,34920
0.5000,0.5100,33346
0.5100,0.5200,29566
0.5200,0.5300,28595
0.5300,0.5400,25314
0.5400,0.5500,25002
0.5500,0.5600,21899
0.5600,0.5700,21396
0.5700,0.5800,18981
0.5800,0.5900,18156
0.5900,0.6000,16298
0.6000,0.6100,16033
0.6100,0.6200,14067
0.6200,0.6300,13459
0.6300,0.6400,12160
0.6400,0.6500,11962
0.6500,0.6600,10643
0.6600,0.6700,10029
0.6700,0.6800,8854
0.6800,0.6900,8596
0.6900,0.7000,7431
0.7000,0.7100,7355
0.7100,0.7200,6524
0.7200,0.7300,6456
0.7300,0.7400,5762
0.7400,0.7500,5433
0.7500,0.7600,5421
0.7600,0.7700,4880
0.7700,0.7800,4656
0.7800,0.7900,4150
0.7900,0.8000,3863
0.8000,0.8100,3159
0.8100,0.8200,3159
0.8200,0.8300,2735
0.8300,0.8400,2406
0.8400,0.8500,2028
0.8500,0.8600,1732
0.8600,0.8700,1429
0.8700,0.8800,1358
0.8800,0.8900,1125
0.8900,0.9000,1022
0.9000,0.9100,948
0.9100,0.9200,883
0.9200,0.9300,873
0.9300,0.9400,1084
0.9400,0.9500,2515
0.9500,0.9600,4819
0.9600,0.9700,8914
0.9700,0.9800,18243
0.9800,0.9900,85824
0.9900,1.0000,169539
