sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
00000,0.152372,0.013354,0.957998,0.038147,0.281738,0.002542,0.381486
00011,0.160152,0.017596,0.943907,0.038845,0.28418,0.00258,0.396605
00025,0.077887,0.013787,0.957041,0.0313,0.228516,0.002089,0.383648
00031,0.09991,0.014254,0.955193,0.033496,0.237915,0.002275,0.409671
00033,0.160694,0.02067,0.934336,0.036569,0.279785,0.002626,0.37979
00042,0.074038,0.010761,0.966178,0.037637,0.273682,0.002029,0.414855
00061,0.096964,0.018528,0.941001,0.027107,0.221313,0.00186,0.366513
00071,0.083171,0.016984,0.947178,0.026702,0.219971,0.001906,0.390612
00082,0.095369,0.016778,0.946587,0.037512,0.218628,0.002227,0.420341
00097,0.038736,0.008065,0.974698,0.033509,0.220703,0.001748,0.471556
00107,0.125347,0.0195,0.938212,0.040655,0.237549,0.00205,0.405352
00112,0.0531,0.008454,0.973404,0.040704,0.301514,0.002565,0.432698
00118,0.072942,0.013466,0.957246,0.039368,0.305908,0.002488,0.384088
00147,0.094069,0.017041,0.945488,0.035946,0.273193,0.002084,0.38108
00149,0.1566,0.013787,0.956365,0.035708,0.248047,0.002132,0.363072
00150,0.119391,0.011523,0.963395,0.037316,0.254883,0.001849,0.37794
00159,0.100556,0.012283,0.961243,0.032113,0.223389,0.00183,0.356995
00177,0.065467,0.008182,0.974024,0.03567,0.225708,0.001977,0.331289
00196,0.024778,0.004207,0.986992,0.049079,0.288574,0.001979,0.364926
00202,0.049982,0.00637,0.979875,0.039756,0.259521,0.001905,0.387717
00210,0.121643,0.012286,0.96118,0.030642,0.21936,0.001968,0.339932
00215,0.118945,0.007744,0.975384,0.035838,0.239014,0.001788,0.381953
00232,0.098442,0.012148,0.961339,0.033068,0.211426,0.002004,0.417638
00242,0.168703,0.020492,0.935216,0.030361,0.222412,0.002211,0.434576
00255,0.019811,0.004927,0.986139,0.028576,0.174683,0.001338,0.503357
00274,0.025273,0.004195,0.988106,0.028236,0.174438,0.001504,0.479412
00284,0.025153,0.004405,0.98752,0.024891,0.155884,0.001499,0.436586
00290,0.030327,0.005227,0.984762,0.031013,0.185913,0.001484,0.513048
00306,0.027358,0.004305,0.987352,0.029508,0.177002,0.001535,0.501534
00320,0.023812,0.0039,0.988716,0.028301,0.18689,0.001319,0.407176
00325,0.676567,0.035662,0.886278,0.022686,0.100891,0.002246,0.473088
00334,0.787325,0.042919,0.86122,0.027517,0.12146,0.003157,0.442835
00339,0.489246,0.051711,0.83482,0.01857,0.10144,0.002308,0.32048
00349,0.023704,0.004012,0.987573,0.028285,0.175293,0.001841,0.485481
00353,0.022901,0.003672,0.988546,0.028965,0.177246,0.001831,0.494835
00370,0.02474,0.003763,0.988293,0.029991,0.181274,0.001821,0.501037
00385,0.026373,0.00385,0.987823,0.028413,0.170776,0.001869,0.495479
00386,0.243996,0.034637,0.890016,0.031478,0.228882,0.003019,0.485459
