test,base,objects,high_conflict_n,base_recall_high,test_recall_high,delta_high,recovered,lost,or_mcnemar,or_ci_lo,or_ci_hi,p_exact_binom,base_recall_all,test_recall_all,delta_all,primary_H5,gate_C1,missing_base,missing_test
CGA_str,B0cmp_full,2583,878,0.438497,0.457859,0.019362,20,3,6.666667,1.977173,35.034079,4.882812e-04,0.626403,0.638405,0.012002,PASS,FAIL,10,7
cga_uniform,B0cmp_full,2583,878,0.438497,0.510251,0.071754,93,30,3.1,2.034668,4.847734,1.083791e-08,0.626403,0.640341,0.013937,PASS,PASS,10,2
cga_shuffle,B0cmp_full,2583,878,0.438497,0.45672,0.018223,21,5,4.2,1.54126,14.25597,2.493918e-03,0.626403,0.637631,0.011227,PASS,FAIL,10,8
P_all,B0cmp_full,2583,878,0.438497,0.42369,-0.014806,89,102,0.872549,0.649151,1.170999,3.852884e-01,0.626403,0.576074,-0.050329,FAIL,FAIL,10,4
P_conf,B0cmp_full,2583,878,0.438497,0.408884,-0.029613,64,90,0.711111,0.507882,0.990698,4.359994e-02,0.626403,0.58614,-0.040263,FAIL,FAIL,10,5
P_grad,B0cmp_full,2583,878,0.438497,0.169704,-0.268793,3,239,0.012552,0.00257,0.037128,6.685027e-67,0.626403,0.309717,-0.316686,FAIL,FAIL,10,40
P_gradconf,B0cmp_full,2583,878,0.438497,0.301822,-0.136674,9,129,0.069767,0.031197,0.136612,2.361702e-28,0.626403,0.497484,-0.12892,FAIL,FAIL,10,15
