test,base,objects,high_conflict_n,base_recall_high,test_recall_high,delta_high,recovered,lost,or_mcnemar,or_ci_lo,or_ci_hi,p_exact_binom,base_recall_all,test_recall_all,delta_all,primary_H5,gate_C1,missing_base,missing_test
CGA_str_s123,B0cmp_full,2583,878,0.438497,0.454442,0.015945,18,4,4.5,1.48234,18.27997,4.343510e-03,0.626403,0.635695,0.009292,PASS,FAIL,10,6
CGA_str_s3407,B0cmp_full,2583,878,0.438497,0.454442,0.015945,18,4,4.5,1.48234,18.27997,4.343510e-03,0.626403,0.635308,0.008904,PASS,FAIL,10,6
