test,base,objects,high_conflict_n,base_recall_high,test_recall_high,delta_high,recovered,lost,or_mcnemar,or_ci_lo,or_ci_hi,p_exact_binom,base_recall_all,test_recall_all,delta_all,primary_H5,gate_C1,missing_base,missing_test
P_M_init,B0cmp_full,2583,878,0.438497,0.432802,-0.005695,2,7,0.285714,0.02896,1.500585,1.796875e-01,0.626403,0.622532,-0.003871,FAIL,FAIL,10,10
P_M_grad,B0cmp_full,2583,878,0.438497,0.436219,-0.002278,1,3,0.333333,0.00635,4.151441,6.250000e-01,0.626403,0.627952,0.001549,FAIL,FAIL,10,10
P_M_max,B0cmp_full,2583,878,0.438497,0.439636,0.001139,2,1,2.0,0.104118,117.994374,1.000000e+00,0.626403,0.627952,0.001549,FAIL,FAIL,10,10
P_M_init,CGA_str,2583,878,0.457859,0.432802,-0.025057,3,25,0.12,0.023191,0.393271,2.744049e-05,0.638405,0.622532,-0.015873,FAIL,FAIL,7,10
P_M_grad,CGA_str,2583,878,0.457859,0.436219,-0.02164,4,23,0.173913,0.043719,0.509003,3.107488e-04,0.638405,0.627952,-0.010453,FAIL,FAIL,7,10
P_M_max,CGA_str,2583,878,0.457859,0.439636,-0.018223,4,20,0.2,0.049707,0.59704,1.543880e-03,0.638405,0.627952,-0.010453,FAIL,FAIL,7,10
