test,base,objects,high_conflict_n,base_recall_high,test_recall_high,delta_high,recovered,lost,or_mcnemar,or_ci_lo,or_ci_hi,p_exact_binom,base_recall_all,test_recall_all,delta_all,primary_H5,gate_C1,missing_base,missing_test
cga_uniform,CGA_str,2583,878,0.457859,0.510251,0.052392,77,31,2.483871,1.61749,3.900237,1.115310e-05,0.638405,0.640341,0.001936,PASS,PASS,7,2
cga_shuffle,CGA_str,2583,878,0.457859,0.45672,-0.001139,3,4,0.75,0.109863,4.43326,1.000000e+00,0.638405,0.637631,-0.000774,FAIL,FAIL,7,8
P_all,CGA_str,2583,878,0.457859,0.42369,-0.034169,74,104,0.711538,0.520854,0.967888,2.944598e-02,0.638405,0.576074,-0.062331,FAIL,FAIL,7,4
P_conf,CGA_str,2583,878,0.457859,0.408884,-0.048975,54,97,0.556701,0.391507,0.784393,5.846388e-04,0.638405,0.58614,-0.052265,FAIL,FAIL,7,5
P_grad,CGA_str,2583,878,0.457859,0.169704,-0.288155,3,256,0.011719,0.002401,0.034635,6.252327e-72,0.638405,0.309717,-0.328688,FAIL,FAIL,7,40
P_gradconf,CGA_str,2583,878,0.457859,0.301822,-0.156036,9,146,0.061644,0.027635,0.120274,5.236778e-33,0.638405,0.497484,-0.140921,FAIL,FAIL,7,15
