tag,checkpoint,use_cga,boundary_mode,gate_type,height,width,params_m,trainable_params_m,ms_per_iter,fps,peak_mem_mb,device
CGA,checkpoints/abl_CGA_str_s42.pt,True,none,scalar,507,507,3.564504,3.564504,395.0501,2.5313,578.26,cuda:0
CGA,checkpoints/abl_CGA_str_s42.pt,True,none,scalar,1034,769,3.564504,3.564504,1420.6567,0.7039,1739.12,cuda:0
