tag,checkpoint,use_cga,height,width,device,ms_mean,ms_p50,ms_p95,ms_min,ms_max,ms_std_pooled,peak_mem_mb,n_samples
official,model.pkl,False,507,507,cuda:0,225.92874277777602,229.72298950003278,232.8878302499163,211.1991430000444,235.08737999998175,7.576834702649508,578.251953125,90
official,model.pkl,False,1034,769,cuda:0,758.7451119888884,769.7661880000055,774.1301895499419,709.9801730000763,900.0492900000836,27.530790738951264,1739.1064453125,90
B0,abl_B0_s42.pt,False,507,507,cuda:0,229.4894123555474,231.76670300000524,236.8457485499789,213.41450699992492,248.52075599983436,7.522707047605293,583.94482421875,90
B0,abl_B0_s42.pt,False,1034,769,cuda:0,763.9526786777852,775.3047259999448,778.1529390000628,714.4850810000207,786.8668080000134,21.895367698545904,1743.80712890625,90
CGA,abl_CGA_str_s42.pt,True,507,507,cuda:0,234.8777775444483,236.583873000086,241.7999427000609,217.59310500010542,252.79701700014812,6.890469176625663,588.65576171875,90
CGA,abl_CGA_str_s42.pt,True,1034,769,cuda:0,780.4404506666692,784.5841514999847,797.6016474000744,723.3482869999079,802.3793229999683,19.05382325800014,1748.51806640625,90
